,CODMPIO,AÑO,MUNICIPIO,Hectáreas cultivadas,Valor agregado,Ingreso tributario,Cobertura de acueducto,Cobertura de alcantarillado,IPM,IICA
0,13006,2018,ACHÍ,12.53,221.6444511009292,35831.63,37.99,0.0,62.4,0.13
1,13030,2018,ALTOS DEL ROSARIO,0.0,72.54914705776832,15199.88,67.59,19.24,70.7,0.02
2,13042,2018,ARENAL,2.51,95.4429212833573,21018.59,78.03,78.03,62.0,0.06
3,13160,2018,CANTAGALLO,728.93,569.9292616570837,24305.55,100.0,100.0,50.6,0.33
4,13268,2018,EL PEÑÓN,0.0,69.93152016912548,13938.23,12.5,0.0,67.7,0.01
5,13473,2018,MORALES,234.16,192.59769041315525,20995.45,38.04,38.04,57.6,0.03
6,13490,2018,NOROSÍ,13.5,145.87023153787703,9272.24,41.6,41.6,66.2,0.12
7,13600,2018,RÍO VIEJO,2.12,123.1869864570952,13575.74,100.0,100.0,57.3,0.04
8,13655,2018,SAN JACINTO DEL CAUCA,233.76,95.5189923217113,14700.75,17.48,0.0,66.7,0.02
9,13688,2018,SANTA ROSA DEL SUR,2009.22,321.1420022009071,34039.09,100.0,92.67,43.6,0.16
10,13744,2018,SIMITÍ,1206.26,285.9200615314594,25259.42,35.98,0.0,54.8,0.11
11,13810,2018,TIQUISIO,134.51,159.01168371039978,23207.56,100.0,0.0,73.0,0.05
12,15212,2018,COPER,0.0,43.61019868547828,7275.04,11.18,10.26,38.8,0.03
13,15223,2018,CUBARÁ,0.0,80.42432355938402,11337.29,58.08,58.08,69.7,0.31
14,15401,2018,LA VICTORIA,0.0,17.576924937517507,3799.1,71.04,22.39,38.4,0.01
15,15442,2018,MARIPÍ,0.0,77.7720422344584,10321.93,34.68,15.38,67.0,0.01
16,15480,2018,MUZO,0.0,97.19171351996653,13851.2,41.39,41.28,40.7,0.04
17,15507,2018,OTANCHE,2.8,88.41042692027969,24004.58,50.46,49.27,44.7,0.16
18,15531,2018,PAUNA,0.0,119.8553202143408,12149.55,36.42,45.82,47.4,0.01
19,15572,2018,PUERTO BOYACÁ,13.68,2311.9515017204926,99173.68,56.35,56.35,33.6,0.06
20,15580,2018,QUÍPAMA,0.0,79.31517128604352,10759.94,28.59,24.25,64.6,0.02
21,15696,2018,SANTA SOFÍA,0.0,79.34380397593739,11060.58,28.25,21.84,31.4,0.01
22,15832,2018,TUNUNGUÁ,0.0,84.83978201313131,4626.81,51.59,19.31,42.1,0.01
23,17433,2018,MANZANARES,0.0,187.2007327557698,22277.75,34.34,2.78,37.5,0.03
24,17495,2018,NORCASIA,0.0,79.7232522423197,12615.79,80.88,60.56,41.4,0.01
25,17541,2018,PENSILVANIA,0.0,178.9564633215546,23047.12,30.7,20.64,37.3,0.02
26,17662,2018,SAMANÁ,0.0,199.7963709525632,24474.01,21.91,19.57,39.9,0.04
27,17867,2018,VICTORIA,0.0,102.87510252736116,17531.56,58.13,54.97,34.9,0.01
28,18001,2018,FLORENCIA,267.99,1935.5335137144664,287545.69,77.51,77.51,29.6,0.05
29,18029,2018,ALBANIA,61.92,50.98022594026668,7859.15,90.53,70.84,38.8,0.01
30,18094,2018,BELÉN DE LOS ANDAQUÍES,303.88,70.1543290947686,14453.59,65.76,65.76,50.0,0.02
31,18205,2018,CURILLO,342.83,63.09385760044309,12506.36,28.18,28.18,55.4,0.4
32,18247,2018,EL DONCELLO,413.36,141.28823824082687,27579.17,96.22,96.22,44.3,0.04
33,18256,2018,EL PAUJIL,704.08,97.8680388604176,18194.58,99.8,99.8,45.5,0.2
34,18410,2018,LA MONTAÑITA,2989.69,79.36328338655957,21040.16,25.03,25.06,56.2,0.45
35,18479,2018,MORELIA,21.04,28.78937659451138,6452.12,52.19,43.15,42.4,0.01
36,18592,2018,PUERTO RICO,1454.45,261.01363824635666,27498.76,50.91,50.91,54.3,0.18
37,18756,2018,SOLANO,825.37,66.94469512923666,17211.14,28.22,25.73,71.9,0.4
38,18785,2018,SOLITA,55.15,45.86042204895356,10170.05,58.1,58.1,58.1,0.08
39,18860,2018,VALPARAÍSO,231.95,63.44828346171023,8543.9,20.5,2.63,50.0,0.17
40,19050,2018,ARGELIA,2369.96,118.46478388149336,34485.72,59.94,25.22,50.1,0.6
41,19075,2018,BALBOA,198.37,190.08367229346013,24428.6,58.54,34.58,47.1,0.32
42,19100,2018,BOLÍVAR,15.9,220.8486336997844,42419.27,9.37,9.38,51.1,0.13
43,19110,2018,BUENOS AIRES,125.74,300.2981476982226,22811.24,3.86,2.72,42.5,0.21
44,19137,2018,CALDONO,0.0,232.8151202876094,35678.27,4.14,4.14,56.0,0.13
45,19142,2018,CALOTO,1.6,1858.8268511930228,33094.18,44.7,15.14,37.4,0.43
46,19290,2018,FLORENCIA,0.0,36.422106230179445,9812.13,23.52,23.52,36.3,0.34
47,19318,2018,GUAPI,678.57,158.15328415600231,33961.82,13.27,12.47,68.9,0.14
48,19364,2018,JAMBALÓ,0.0,89.93401342087677,20767.22,38.28,38.28,46.5,0.04
49,19392,2018,LA SIERRA,0.0,71.09669282339766,15902.62,31.59,19.04,53.6,0.04
50,19397,2018,LA VEGA,0.0,145.4590236632892,26031.2,4.3,4.3,56.7,0.07
51,19418,2018,LÓPEZ,1319.76,107.63895365753312,16044.26,37.97,55.61,81.2,0.19
52,19455,2018,MIRANDA,2.27,708.2646557583736,38627.15,71.0,61.81,21.6,0.26
53,19473,2018,MORALES,309.79,240.8467416808043,33189.01,53.47,10.37,48.7,0.05
54,19533,2018,PIAMONTE,1997.22,89.72385440280587,15917.93,71.03,66.52,44.0,0.37
55,19622,2018,ROSAS,3.89,78.30758349996188,13038.25,99.84,7.18,43.2,0.25
56,19698,2018,SANTANDER DE QUILICHAO,0.0,1665.2656918992668,90158.27,70.74,66.14,23.8,0.17
57,19701,2018,SANTA ROSA,0.0,30.744443197482248,10024.33,100.0,74.5,66.1,0.03
58,19780,2018,SUÁREZ,383.53,236.93496119140863,24627.84,60.69,16.44,44.1,0.35
59,19785,2018,SUCRE,6.8,54.63891203104122,18148.16,15.06,15.06,75.5,0.03
60,19807,2018,TIMBÍO,0.0,265.84010170762025,32263.22,54.34,26.49,35.7,0.05
61,19821,2018,TORIBÍO,0.0,178.78661961407047,37048.93,43.71,43.71,45.1,0.11
62,20178,2018,CHIRIGUANÁ,0.0,213.0934798515118,36119.36,100.0,100.0,41.3,0.02
63,20310,2018,GONZÁLEZ,7.1,29.18122741259316,14804.43,40.34,40.34,56.6,0.09
64,20517,2018,PAILITAS,0.0,148.9103780872903,22576.36,68.21,68.21,46.1,0.16
65,20710,2018,SAN ALBERTO,13.79,409.99802375543095,25384.81,100.0,100.0,31.9,0.02
66,20770,2018,SAN MARTÍN,10.21,1048.7595050963596,33326.11,60.52,60.52,41.7,0.03
67,23350,2018,LA APARTADA,0.0,87.76566373675841,17793.54,84.24,50.89,52.6,0.04
68,23466,2018,MONTELÍBANO,974.04,1816.49494794257,92144.63,70.06,53.54,41.1,0.08
69,23580,2018,PUERTO LIBERTADOR,1013.93,382.89656049293126,53349.79,36.29,18.15,58.9,0.07
70,23682,2018,SAN JOSÉ DE URE,441.7,61.96969179283473,17192.88,60.05,0.0,61.3,0.78
71,23807,2018,TIERRALTA,2201.26,1038.8628052758077,112582.84,86.16,30.85,63.8,0.12
72,23855,2018,VALENCIA,5.48,210.1731204124378,40600.5,58.53,58.53,53.1,0.02
73,25823,2018,TOPAIPÍ,0.0,46.5153472556992,6775.08,14.41,8.74,47.1,0.03
74,25885,2018,YACOPÍ,0.0,201.2552261762454,24236.87,10.14,10.14,55.5,0.01
75,27001,2018,QUIBDÓ,3.52,1390.244427701275,255595.77,30.82,17.59,44.4,0.1
76,27006,2018,ACANDÍ,4.47,53.34039538347699,16317.3,74.05,64.84,51.4,0.13
77,27025,2018,ALTO BAUDÓ,21.62,83.59660969707905,27611.1,80.3,55.36,90.6,0.03
78,27050,2018,ATRATO,0.0,50.40305605222994,16329.24,87.01,0.0,61.5,0.29
79,27075,2018,BAHÍA SOLANO,0.0,32.29512850760162,18451.0,39.47,39.47,46.6,0.11
80,27077,2018,BAJO BAUDÓ,53.69,62.125349756920905,39943.46,70.75,68.38,80.4,0.1
81,27099,2018,BOJAYÁ,0.0,50.47404792431979,22097.57,61.29,26.04,77.1,0.02
82,27135,2018,EL CANTÓN DEL SAN PABLO,5.51,37.05270051629759,11978.09,75.63,75.63,60.2,0.06
83,27150,2018,CARMEN DEL DARIÉN,153.39,186.2604141026115,10258.01,100.0,0.0,77.8,0.29
84,27205,2018,CONDOTO,11.43,102.154947489606,19060.2,81.43,80.14,53.2,0.02
85,27250,2018,EL LITORAL DEL SAN JUAN,138.36,37.0714005628601,16694.33,98.97,0.0,83.1,0.09
86,27361,2018,ISTMINA,577.36,339.0527354592077,39218.22,0.0,0.0,55.1,0.09
87,27372,2018,JURADÓ,0.0,23.455309731603823,11671.71,67.22,67.22,71.8,0.19
88,27425,2018,MEDIO ATRATO,0.0,68.81154049162082,16833.07,82.64,0.0,76.6,0.58
89,27430,2018,MEDIO BAUDÓ,43.42,63.6055934652082,35198.87,53.33,19.13,80.2,0.04
90,27450,2018,MEDIO SAN JUAN,224.96,45.47083210183053,15177.18,100.0,59.74,69.7,0.13
91,27491,2018,NÓVITA,130.29,39.40093364970727,14750.69,52.33,61.77,60.1,0.1
92,27495,2018,NUQUÍ,0.0,36.19735389532098,11424.72,46.15,46.15,72.9,0.01
93,27580,2018,RÍO IRÓ,16.33,27.43748522780948,10217.67,100.0,40.27,75.1,0.04
94,27600,2018,RÍO QUITO,0.0,41.978380735295815,15047.47,83.75,83.75,66.8,0.04
95,27615,2018,RIOSUCIO,104.01,332.705586291848,32758.79,16.12,0.0,70.9,0.12
96,27660,2018,SAN JOSÉ DEL PALMAR,391.55,28.0733754064754,8294.15,47.61,28.72,59.1,0.88
97,27745,2018,SIPÍ,246.96,13.587282703681758,5203.56,67.62,100.0,69.7,0.28
98,27787,2018,TADÓ,0.0,144.75938750350775,27260.88,99.92,95.09,59.9,0.15
99,27800,2018,UNGUÍA,28.26,103.6941137607792,13518.72,100.0,100.0,63.4,0.11
100,27810,2018,UNIÓN PANAMERICANA,0.0,43.30049913568583,10059.96,96.76,96.76,57.4,0.06
101,44001,2018,RIOHACHA,0.0,2132.723288983334,369223.19,84.64,88.98,45.1,0.05
102,44090,2018,DIBULLA,1.61,282.7964055875342,50089.08,100.0,100.0,65.5,0.02
103,47001,2018,SANTA MARTA,12.45,5712.8976754041,758691.0,19.75,16.81,24.4,0.03
104,47189,2018,CIÉNAGA,0.0,1230.6772319606075,201636.77,62.15,41.69,44.6,0.03
105,47288,2018,FUNDACIÓN,0.0,469.0397556081687,64333.23,68.88,68.88,43.9,0.02
106,50330,2018,MESETAS,45.15,130.0476258859797,22055.73,18.9,18.9,45.1,0.3
107,50350,2018,LA MACARENA,560.18,231.07164245266688,22001.27,25.11,16.73,67.9,0.54
108,50370,2018,URIBE,78.44,78.45520832319835,8710.01,46.58,45.68,60.4,0.57
109,50400,2018,LEJANÍAS,0.0,267.52544702698947,14363.21,49.7,49.7,39.9,0.18
110,50450,2018,PUERTO CONCORDIA,35.02,157.7450512332409,18282.19,30.18,13.27,53.0,0.29
111,50568,2018,PUERTO GAITÁN,0.0,9563.027134159162,169697.34,66.0,61.47,51.8,0.03
112,50573,2018,PUERTO LÓPEZ,0.0,1013.0283678220646,56692.68,74.97,66.53,32.7,0.02
113,50577,2018,PUERTO LLERAS,9.32,231.47852481600225,15104.1,36.91,35.65,43.5,0.1
114,50590,2018,PUERTO RICO,1081.9,283.2965473258037,21749.04,12.16,12.16,47.1,0.49
115,50683,2018,SAN JUAN DE ARAMA,46.09,172.16497152711003,11018.03,32.3,32.3,37.9,0.01
116,50689,2018,SAN MARTÍN,0.0,477.32294131624985,25241.41,82.52,80.88,25.5,0.04
117,50711,2018,VISTAHERMOSA,856.63,180.8176676456728,23858.52,39.24,27.62,48.5,0.23
118,52036,2018,ANCUYÁ,24.63,51.631263403877554,12622.06,100.0,30.19,22.2,0.02
119,52079,2018,BARBACOAS,3516.29,245.72958421258997,41079.19,60.47,57.7,76.1,0.23
120,52110,2018,BUESACO,0.0,185.2895772473981,26807.27,14.02,14.02,39.2,0.01
121,52207,2018,CONSACÁ,0.0,69.9591165078223,13149.35,48.1,6.7,34.9,0.01
122,52210,2018,CONTADERO,0.0,51.73573694218572,12275.14,99.94,26.05,44.0,0.01
123,52215,2018,CÓRDOBA,0.0,127.12503711653358,18116.35,8.99,8.99,41.8,0.01
124,52227,2018,CUMBAL,0.0,149.6318718178409,42486.38,52.95,30.88,28.6,0.03
125,52250,2018,EL CHARCO,5147.73,130.71145309955597,27069.23,100.0,100.0,75.9,0.31
126,52254,2018,EL PEÑOL,55.8,84.25296733553574,11834.71,38.53,29.53,43.0,0.03
127,52256,2018,EL ROSARIO,842.49,68.98277941908728,15895.98,23.61,23.61,52.1,0.37
128,52260,2018,EL TAMBO,98.48,109.61817620840884,16502.83,36.31,36.31,31.9,0.01
129,52356,2018,IPIALES,928.49,1266.524643746611,193246.2,65.31,58.13,23.4,0.09
130,52381,2018,LA FLORIDA,39.87,81.12621495374077,18358.07,29.89,8.93,59.0,0.06
131,52385,2018,LA LLANADA,142.47,30.143576614032007,12281.72,42.96,42.96,33.6,0.04
132,52390,2018,LA TOLA,280.36,27.39601306469945,10941.27,100.0,100.0,73.9,0.11
133,52405,2018,LEIVA,290.17,60.87234661787802,18576.62,42.43,26.97,55.3,0.34
134,52411,2018,LINARES,504.71,71.3230352238713,13012.32,71.31,20.51,32.9,0.05
135,52418,2018,LOS ANDES,294.95,67.73511793235042,21648.9,26.18,25.29,44.9,0.03
136,52427,2018,MAGÜI,2023.63,66.787991032114,14801.42,39.68,39.68,85.3,0.14
137,52435,2018,MALLAMA,18.12,41.32200339481291,11224.31,13.93,13.93,39.0,0.21
138,52473,2018,MOSQUERA,227.25,36.73937856990175,14257.08,55.33,0.0,70.2,0.04
139,52490,2018,OLAYA HERRERA,3504.58,85.9046431214969,24991.71,54.46,54.51,75.9,0.32
140,52520,2018,FRANCISCO PIZARRO,304.75,53.92183164929227,11924.59,53.44,0.0,69.5,0.08
141,52540,2018,POLICARPA,936.4,66.39390220741427,18089.75,41.27,41.27,38.7,0.37
142,52573,2018,PUERRES,0.0,63.82868938522434,13190.55,83.56,83.19,32.7,0.03
143,52612,2018,RICAURTE,808.56,80.6899068572219,21039.97,19.37,19.37,71.9,0.38
144,52621,2018,ROBERTO PAYÁN,2852.94,52.86319239190229,19948.62,31.27,31.27,81.0,0.27
145,52678,2018,SAMANIEGO,856.85,195.53535651992905,39076.13,79.62,21.34,47.7,0.26
146,52683,2018,SANDONÁ,8.82,129.28472960443676,22888.61,95.22,68.96,28.9,0.01
147,52693,2018,SAN PABLO,0.0,93.94521449418936,21320.76,100.0,32.54,41.1,0.09
148,52696,2018,SANTA BÁRBARA,560.34,52.03713701630009,15302.34,41.55,41.55,75.1,0.1
149,52699,2018,SANTACRUZ,809.55,53.91681916585422,19055.05,100.0,43.96,65.1,0.77
150,52835,2018,SAN ANDRÉS DE TUMACO,16046.85,1525.2422157361764,255196.03,49.68,0.0,53.7,0.81
151,54001,2018,CÚCUTA,316.89,8514.12650896276,963572.38,78.95,78.39,25.7,0.06
152,54003,2018,ÁBREGO,73.29,214.3456122495582,32957.34,69.23,70.83,55.8,0.11
153,54109,2018,BUCARASICA,10.64,42.88438690452857,8133.11,34.05,9.23,67.9,0.13
154,54128,2018,CACHIRÁ,0.0,72.39928963191218,12261.66,24.67,24.69,56.4,0.01
155,54206,2018,CONVENCIÓN,1686.74,132.26469660747975,20073.96,39.15,32.47,64.0,0.88
156,54245,2018,EL CARMEN,702.19,113.73234274486629,18666.54,33.56,33.59,68.9,0.48
157,54250,2018,EL TARRA,4916.63,105.17897464783366,21124.93,34.61,34.61,71.2,1.28
158,54344,2018,HACARÍ,402.71,67.24062730734855,14663.66,12.05,8.12,73.4,1.65
159,54398,2018,LA PLAYA,26.83,89.99406745719125,10925.58,16.62,14.67,67.9,0.24
160,54418,2018,LOURDES,0.0,41.53586375089623,6100.95,43.84,43.74,45.3,0.01
161,54498,2018,OCAÑA,42.12,820.0444479795244,88857.92,78.23,78.23,31.4,0.1
162,54670,2018,SAN CALIXTO,765.34,91.91034595560696,14814.12,9.59,9.59,73.5,0.76
163,54720,2018,SARDINATA,5487.34,344.2922601042056,24812.0,50.76,50.76,53.8,0.25
164,54800,2018,TEORAMA,2915.98,102.36698583672296,20873.27,13.68,12.92,67.1,1.71
165,54810,2018,TIBÚ,16096.74,533.5033228790511,43721.48,24.75,24.75,57.6,0.85
166,54820,2018,TOLEDO,0.0,110.58476838731414,27895.95,23.22,23.22,50.1,0.08
167,68020,2018,ALBANIA,0.0,129.17110040282853,8598.95,11.82,11.23,48.1,0.05
168,68092,2018,BETULIA,0.0,208.5212018879716,15234.72,45.77,45.77,43.9,0.01
169,68101,2018,BOLÍVAR,3.63,150.90377609829832,17124.51,7.93,7.41,45.5,0.01
170,68176,2018,CHIMA,0.0,55.59222353480559,5954.8,86.26,23.29,45.2,0.01
171,68190,2018,CIMITARRA,1.55,684.5981655470946,56587.9,66.5,64.15,36.0,0.08
172,68209,2018,CONFINES,0.0,42.71981341890489,5895.74,37.21,30.72,32.6,0.01
173,68211,2018,CONTRATACIÓN,0.0,42.22026376583974,9554.52,91.45,68.52,29.2,0.01
174,68235,2018,EL CARMEN DE CHUCURÍ,2.84,173.9212115638343,21322.92,20.55,20.55,58.9,0.07
175,68250,2018,EL PEÑÓN,2.24,43.25354915221818,8624.96,13.5,13.5,57.8,0.02
176,68255,2018,EL PLAYÓN,0.0,161.9417257509795,14709.01,100.0,92.66,45.7,0.01
177,68271,2018,FLORIÁN,0.0,73.2652580011127,14128.82,91.24,32.88,56.0,0.01
178,68322,2018,GUAPOTÁ,0.0,33.427801001174856,4468.43,99.29,36.23,31.4,0.01
179,68324,2018,GUAVATÁ,0.0,57.047293103587904,6612.45,12.24,12.24,40.4,0.01
180,68377,2018,LA BELLEZA,0.0,66.49794434715312,11278.59,97.45,28.37,36.1,0.01
181,68385,2018,LANDÁZURI,0.0,166.56232900811062,19570.93,100.0,100.0,49.1,0.01
182,68397,2018,LA PAZ,0.0,49.60808242438848,8968.87,100.0,35.54,36.1,0.02
183,68524,2018,PALMAS DEL SOCORRO,0.0,58.51503400121015,5563.64,73.43,21.96,27.3,0.01
184,68573,2018,PUERTO PARRA,0.0,106.18338789633816,11161.76,53.13,53.13,36.1,0.05
185,68615,2018,RIONEGRO,0.0,878.7559493985831,20772.8,13.15,13.15,37.8,0.1
186,68655,2018,SABANA DE TORRES,0.0,746.5381861542666,47268.45,32.54,22.01,36.6,0.01
187,68689,2018,SAN VICENTE DE CHUCURÍ,0.0,536.1071583473215,43969.4,46.22,31.85,34.9,0.01
188,68720,2018,SANTA HELENA DEL OPÓN,6.24,40.52502563257915,9065.9,24.25,24.25,47.9,0.01
189,68745,2018,SIMACOTA,4.08,125.48742825756972,14582.65,68.49,36.36,44.5,0.01
190,68773,2018,SUCRE,0.0,67.44246578571143,10286.89,10.03,10.03,47.1,0.01
191,68861,2018,VÉLEZ,0.0,281.14940680452014,21652.19,55.12,43.79,32.3,0.01
192,76001,2018,CALI,0.0,40703.27972091906,3099616.5,78.62,78.03,11.9,0.06
193,76100,2018,BOLÍVAR,80.85,213.4267136993201,16339.36,69.18,69.2,29.7,0.07
194,76109,2018,BUENAVENTURA,987.23,4178.64006983553,537202.31,68.01,68.01,41.0,0.1
195,76126,2018,CALIMA,44.93,255.783428085583,20207.02,53.26,48.61,25.7,0.03
196,76233,2018,DAGUA,36.61,776.0834088262716,40292.4,56.59,15.01,28.4,0.07
