,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría cultivo,AÑO,Hectáreas cultivadas,IICA,Categoría IICA
0,5,ANTIOQUIA,5031,AMALFI,Cultivo permanente,2017,197.94,0.03,Bajo
1,5,ANTIOQUIA,5040,ANORÍ,Cultivo permanente,2017,1312.28,0.22,Bajo
2,5,ANTIOQUIA,5045,APARTADÓ,Cultivo permanente,2017,7.93,0.06,Bajo
3,5,ANTIOQUIA,5055,ARGELIA,Cultivo abandonado,2017,0.0,0.05,Bajo
4,5,ANTIOQUIA,5107,BRICEÑO,Cultivo permanente,2017,414.9,0.62,Medio bajo
5,5,ANTIOQUIA,5120,CÁCERES,Cultivo permanente,2017,1943.61,0.3,Bajo
6,5,ANTIOQUIA,5134,CAMPAMENTO,Cultivo permanente,2017,228.15,0.12,Bajo
7,5,ANTIOQUIA,5142,CARACOLÍ,Cultivo abandonado,2017,0.0,0.0,Bajo
8,5,ANTIOQUIA,5147,CAREPA,Cultivo abandonado,2017,0.0,0.16,Bajo
9,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,Cultivo abandonado,2017,0.0,0.03,Bajo
10,5,ANTIOQUIA,5154,CAUCASIA,Cultivo intermintente,2017,0.0,0.08,Bajo
11,5,ANTIOQUIA,5172,CHIGORODÓ,Cultivo intermintente,2017,6.94,0.06,Bajo
12,5,ANTIOQUIA,5197,COCORNÁ,Cultivo abandonado,2017,0.0,0.0,Bajo
13,5,ANTIOQUIA,5234,DABEIBA,Cultivo abandonado,2017,0.0,0.11,Bajo
14,5,ANTIOQUIA,5250,EL BAGRE,Cultivo permanente,2017,595.17,0.07,Bajo
15,5,ANTIOQUIA,5284,FRONTINO,Cultivo abandonado,2017,0.0,0.03,Bajo
16,5,ANTIOQUIA,5310,GÓMEZ PLATA,Cultivo abandonado,2017,0.0,0.05,Bajo
17,5,ANTIOQUIA,5361,ITUANGO,Cultivo permanente,2017,865.56,0.47,Medio bajo
18,5,ANTIOQUIA,5425,MACEO,Cultivo abandonado,2017,0.0,0.02,Bajo
19,5,ANTIOQUIA,5475,MURINDÓ,Cultivo intermintente,2017,0.0,0.02,Bajo
20,5,ANTIOQUIA,5480,MUTATÁ,Cultivo intermintente,2017,6.65,0.07,Bajo
21,5,ANTIOQUIA,5483,NARIÑO,Cultivo abandonado,2017,0.0,0.01,Bajo
22,5,ANTIOQUIA,5495,NECHÍ,Cultivo permanente,2017,551.52,0.07,Bajo
23,5,ANTIOQUIA,5490,NECOCLÍ,Cultivo abandonado,2017,0.0,0.02,Bajo
24,5,ANTIOQUIA,5579,PUERTO BERRÍO,Cultivo abandonado,2017,0.0,0.14,Bajo
25,5,ANTIOQUIA,5585,PUERTO NARE,Cultivo abandonado,2017,0.0,0.02,Bajo
26,5,ANTIOQUIA,5591,PUERTO TRIUNFO,Cultivo abandonado,2017,0.0,0.03,Bajo
27,5,ANTIOQUIA,5604,REMEDIOS,Cultivo permanente,2017,24.67,0.09,Bajo
28,5,ANTIOQUIA,5628,SABANALARGA,Cultivo abandonado,2017,0.0,0.06,Bajo
29,5,ANTIOQUIA,5649,SAN CARLOS,Cultivo intermintente,2017,0.0,0.06,Bajo
30,5,ANTIOQUIA,5652,SAN FRANCISCO,Cultivo permanente,2017,13.99,0.02,Bajo
31,5,ANTIOQUIA,5660,SAN LUIS,Cultivo permanente,2017,4.57,0.06,Bajo
32,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,Cultivo intermintente,2017,3.48,0.04,Bajo
33,5,ANTIOQUIA,5667,SAN RAFAEL,Cultivo abandonado,2017,0.0,0.01,Bajo
34,5,ANTIOQUIA,5670,SAN ROQUE,Cultivo abandonado,2017,0.0,0.03,Bajo
35,5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,Cultivo abandonado,2017,0.0,0.03,Bajo
