,CODDEPTO,DEPARTAMENTO,AÑO,Hectáreas cultivadas,IICA
0,5,ANTIOQUIA,2017,13680.83,0.10058823529411764
1,5,ANTIOQUIA,2018,13403.09,0.15333333333333335
2,5,ANTIOQUIA,2019,9481.93,0.1568627450980392
3,5,ANTIOQUIA,2020,12090.19,0.16254901960784313
4,5,ANTIOQUIA,2021,16980.91,0.15372549019607842
5,13,BOLÍVAR,2017,6179.01,0.074375
6,13,BOLÍVAR,2018,8613.68,0.09625
7,13,BOLÍVAR,2019,7965.09,0.07875
8,13,BOLÍVAR,2020,9373.25,0.11750000000000001
9,13,BOLÍVAR,2021,11514.38,0.1325
10,15,BOYACÁ,2017,21.99,0.020833333333333332
11,15,BOYACÁ,2018,16.48,0.05666666666666667
12,15,BOYACÁ,2019,4.24,0.12166666666666666
13,15,BOYACÁ,2020,6.35,0.019166666666666665
14,15,BOYACÁ,2021,17.95,0.023333333333333334
15,17,CALDAS,2017,0.0,0.018
16,17,CALDAS,2018,0.0,0.022
17,17,CALDAS,2019,0.0,0.013999999999999999
18,17,CALDAS,2020,0.0,0.016
19,17,CALDAS,2021,0.0,0.013999999999999999
20,18,CAQUETÁ,2017,11793.25,0.155
21,18,CAQUETÁ,2018,11761.72,0.190625
22,18,CAQUETÁ,2019,4511.46,0.204375
23,18,CAQUETÁ,2020,2054.94,0.149375
24,18,CAQUETÁ,2021,3668.6000000000004,0.10875
25,19,CAUCA,2017,15960.31,0.14935483870967742
26,19,CAUCA,2018,17117.07,0.2032258064516129
27,19,CAUCA,2019,17355.829999999998,0.18096774193548387
28,19,CAUCA,2020,16543.83,0.19612903225806452
29,19,CAUCA,2021,25099.09,0.19548387096774192
30,20,CESAR,2017,24.35,0.064
31,20,CESAR,2018,31.1,0.064
32,20,CESAR,2019,38.16,0.03
33,20,CESAR,2020,32.22,0.11599999999999999
34,20,CESAR,2021,10.61,0.08800000000000001
35,23,CÓRDOBA,2017,4780.4400000000005,0.06666666666666667
36,23,CÓRDOBA,2018,4636.41,0.18499999999999997
37,23,CÓRDOBA,2019,2881.86,0.17
38,23,CÓRDOBA,2020,3748.82,0.18333333333333335
39,23,CÓRDOBA,2021,5480.42,0.16
40,25,CUNDINAMARCA,2017,0.0,0.007500000000000001
41,25,CUNDINAMARCA,2018,0.0,0.02
42,25,CUNDINAMARCA,2019,0.0,0.01
43,25,CUNDINAMARCA,2020,0.0,0.015000000000000001
44,25,CUNDINAMARCA,2021,0.0,0.01
45,27,CHOCÓ,2017,2610.59,0.1988888888888889
46,27,CHOCÓ,2018,2155.13,0.1511111111111111
47,27,CHOCÓ,2019,1248.09,0.13592592592592592
48,27,CHOCÓ,2020,1467.6399999999999,0.1877777777777778
49,27,CHOCÓ,2021,5060.58,0.14444444444444443
50,44,LA GUAJIRA,2017,1.69,0.08
51,44,LA GUAJIRA,2018,1.61,0.035
52,44,LA GUAJIRA,2019,0.0,0.045
53,44,LA GUAJIRA,2020,0.0,0.025
54,44,LA GUAJIRA,2021,0.0,0.045
55,47,MAGDALENA,2017,7.88,0.025
56,47,MAGDALENA,2018,12.45,0.03
57,47,MAGDALENA,2019,6.88,0.02
58,47,MAGDALENA,2020,2.07,0.02
59,47,MAGDALENA,2021,2.49,0.0225
60,50,META,2017,5577.21,0.2876923076923077
61,50,META,2018,2944.59,0.24461538461538462
62,50,META,2019,1465.5700000000002,0.11461538461538462
63,50,META,2020,1234.86,0.21153846153846154
64,50,META,2021,1639.82,0.1676923076923077
65,52,NARIÑO,2017,45734.62,0.15588235294117647
66,52,NARIÑO,2018,41903.31,0.18352941176470589
67,52,NARIÑO,2019,36964.26,0.18
68,52,NARIÑO,2020,30751.379999999997,0.17411764705882352
69,52,NARIÑO,2021,56515.94,0.22088235294117647
70,54,NORTE DE SANTANDER,2017,28244.27,0.33
71,54,NORTE DE SANTANDER,2018,33597.87,0.4888888888888888
72,54,NORTE DE SANTANDER,2019,41710.97,0.3794444444444445
73,54,NORTE DE SANTANDER,2020,40083.7,0.29055555555555557
74,54,NORTE DE SANTANDER,2021,42565.149999999994,0.2588888888888889
75,68,SANTANDER,2017,29.990000000000002,0.013846153846153845
76,68,SANTANDER,2018,20.58,0.02230769230769231
77,68,SANTANDER,2019,2.3899999999999997,0.016153846153846154
78,68,SANTANDER,2020,3.12,0.009230769230769232
79,68,SANTANDER,2021,10.12,0.02346153846153846
80,76,VALLE DEL CAUCA,2017,1261.3100000000002,0.07428571428571429
81,76,VALLE DEL CAUCA,2018,1270.56,0.06857142857142857
82,76,VALLE DEL CAUCA,2019,2329.0,0.07571428571428572
83,76,VALLE DEL CAUCA,2020,1937.86,0.0642857142857143
84,76,VALLE DEL CAUCA,2021,2589.6400000000003,0.07714285714285715
85,81,ARAUCA,2017,121.22,0.288
86,81,ARAUCA,2018,7.44,0.45
87,81,ARAUCA,2019,0.0,0.46799999999999997
88,81,ARAUCA,2020,0.0,0.356
89,81,ARAUCA,2021,0.0,0.312
90,86,PUTUMAYO,2017,29588.97,0.202
91,86,PUTUMAYO,2018,26407.56,0.215
92,86,PUTUMAYO,2019,24972.91,0.18
93,86,PUTUMAYO,2020,19986.18,0.202
94,86,PUTUMAYO,2021,28205.21,0.175
