,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas,IPM
0,5,ANTIOQUIA,5031,AMALFI,Cultivo permanente,2018,205.61,43.3
1,5,ANTIOQUIA,5040,ANORÍ,Cultivo permanente,2018,969.49,53.3
2,5,ANTIOQUIA,5045,APARTADÓ,Cultivo permanente,2018,1.51,28.0
3,5,ANTIOQUIA,5055,ARGELIA,Cultivo abandonado,2018,0.0,48.7
4,5,ANTIOQUIA,5107,BRICEÑO,Cultivo permanente,2018,289.04,55.4
5,5,ANTIOQUIA,5120,CÁCERES,Cultivo permanente,2018,1826.23,66.4
6,5,ANTIOQUIA,5134,CAMPAMENTO,Cultivo permanente,2018,204.57,59.3
7,5,ANTIOQUIA,5142,CARACOLÍ,Cultivo abandonado,2018,0.0,35.9
8,5,ANTIOQUIA,5147,CAREPA,Cultivo abandonado,2018,0.0,34.4
9,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,Cultivo abandonado,2018,0.0,18.5
10,5,ANTIOQUIA,5154,CAUCASIA,Cultivo intermintente,2018,2.25,36.0
11,5,ANTIOQUIA,5172,CHIGORODÓ,Cultivo intermintente,2018,5.31,37.7
12,5,ANTIOQUIA,5197,COCORNÁ,Cultivo abandonado,2018,0.0,42.9
13,5,ANTIOQUIA,5234,DABEIBA,Cultivo abandonado,2018,0.0,60.5
14,5,ANTIOQUIA,5250,EL BAGRE,Cultivo permanente,2018,811.02,53.7
15,5,ANTIOQUIA,5284,FRONTINO,Cultivo abandonado,2018,0.0,51.3
16,5,ANTIOQUIA,5310,GÓMEZ PLATA,Cultivo abandonado,2018,0.0,34.1
17,5,ANTIOQUIA,5361,ITUANGO,Cultivo permanente,2018,882.69,57.6
18,5,ANTIOQUIA,5425,MACEO,Cultivo abandonado,2018,0.0,36.0
19,5,ANTIOQUIA,5475,MURINDÓ,Cultivo intermintente,2018,0.0,81.5
20,5,ANTIOQUIA,5480,MUTATÁ,Cultivo intermintente,2018,3.49,57.8
21,5,ANTIOQUIA,5483,NARIÑO,Cultivo abandonado,2018,0.0,51.8
22,5,ANTIOQUIA,5495,NECHÍ,Cultivo permanente,2018,708.03,61.5
23,5,ANTIOQUIA,5490,NECOCLÍ,Cultivo abandonado,2018,0.0,62.7
24,5,ANTIOQUIA,5579,PUERTO BERRÍO,Cultivo abandonado,2018,0.0,32.1
25,5,ANTIOQUIA,5585,PUERTO NARE,Cultivo abandonado,2018,0.0,33.1
26,5,ANTIOQUIA,5591,PUERTO TRIUNFO,Cultivo abandonado,2018,0.0,29.3
27,5,ANTIOQUIA,5604,REMEDIOS,Cultivo permanente,2018,45.37,42.1
28,5,ANTIOQUIA,5628,SABANALARGA,Cultivo abandonado,2018,0.0,52.8
29,5,ANTIOQUIA,5649,SAN CARLOS,Cultivo intermintente,2018,0.0,30.5
30,5,ANTIOQUIA,5652,SAN FRANCISCO,Cultivo permanente,2018,28.75,46.4
31,5,ANTIOQUIA,5660,SAN LUIS,Cultivo permanente,2018,8.91,32.4
32,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,Cultivo intermintente,2018,2.66,62.3
33,5,ANTIOQUIA,5667,SAN RAFAEL,Cultivo abandonado,2018,0.0,36.8
34,5,ANTIOQUIA,5670,SAN ROQUE,Cultivo abandonado,2018,0.0,40.8
35,5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,Cultivo abandonado,2018,0.0,30.9
36,5,ANTIOQUIA,5736,SEGOVIA,Cultivo permanente,2018,306.59,42.8
37,5,ANTIOQUIA,5756,SONSÓN,Cultivo intermintente,2018,0.0,37.9
38,5,ANTIOQUIA,5790,TARAZÁ,Cultivo permanente,2018,3728.41,53.5
39,5,ANTIOQUIA,5819,TOLEDO,Cultivo emergente,2018,3.44,53.5
40,5,ANTIOQUIA,5837,TURBO,Cultivo permanente,2018,56.84,49.9
41,5,ANTIOQUIA,5842,URAMITA,Cultivo abandonado,2018,0.0,55.6
42,5,ANTIOQUIA,5847,URRAO,Cultivo abandonado,2018,0.0,46.1
43,5,ANTIOQUIA,5854,VALDIVIA,Cultivo permanente,2018,2623.54,59.3
44,5,ANTIOQUIA,5858,VEGACHÍ,Cultivo intermintente,2018,42.29,41.0
45,5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,Cultivo intermintente,2018,0.0,76.1
46,5,ANTIOQUIA,5885,YALÍ,Cultivo intermintente,2018,58.28,44.0
47,5,ANTIOQUIA,5887,YARUMAL,Cultivo permanente,2018,87.63,33.8
48,5,ANTIOQUIA,5890,YOLOMBÓ,Cultivo intermintente,2018,23.41,45.0
49,5,ANTIOQUIA,5893,YONDÓ ,Cultivo intermintente,2018,6.5,46.3
50,5,ANTIOQUIA,5895,ZARAGOZA,Cultivo permanente,2018,471.23,58.0
51,81,ARAUCA,81065,ARAUQUITA,Cultivo intermintente,2018,7.44,49.2
52,81,ARAUCA,81300,FORTUL,Cultivo abandonado,2018,0.0,48.3
53,81,ARAUCA,81591,PUERTO RONDÓN,Cultivo abandonado,2018,0.0,45.0
54,81,ARAUCA,81736,SARAVENA,Cultivo abandonado,2018,0.0,39.4
55,81,ARAUCA,81794,TAME,Cultivo abandonado,2018,0.0,41.9
56,13,BOLÍVAR,13006,ACHÍ,Cultivo permanente,2018,12.53,62.4
57,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,Cultivo intermintente,2018,0.0,70.7
58,13,BOLÍVAR,13042,ARENAL,Cultivo permanente,2018,2.51,62.0
59,13,BOLÍVAR,13074,BARRANCO DE LOBA,Cultivo intermintente,2018,0.0,68.9
60,13,BOLÍVAR,13160,CANTAGALLO,Cultivo permanente,2018,728.93,50.6
61,13,BOLÍVAR,13268,EL PEÑÓN,Cultivo abandonado,2018,0.0,67.7
62,13,BOLÍVAR,13458,MONTECRISTO,Cultivo permanente,2018,716.53,70.1
63,13,BOLÍVAR,13473,MORALES,Cultivo permanente,2018,234.16,57.6
64,13,BOLÍVAR,13490,NOROSI,Cultivo permanente,2018,13.5,66.2
65,13,BOLÍVAR,13600,RIOVIEJO,Cultivo permanente,2018,2.12,57.3
66,13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,Cultivo permanente,2018,233.76,66.7
67,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,Cultivo intermintente,2018,4.14,60.6
68,13,BOLÍVAR,13670,SAN PABLO,Cultivo permanente,2018,3315.51,54.0
69,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,Cultivo permanente,2018,2009.22,43.6
70,13,BOLÍVAR,13744,SIMITÍ,Cultivo permanente,2018,1206.26,54.8
71,13,BOLÍVAR,13810,TIQUISIO ,Cultivo permanente,2018,134.51,73.0
72,15,BOYACÁ,15212,COPER,Cultivo abandonado,2018,0.0,38.8
73,15,BOYACÁ,15223,CUBARÁ,Cultivo abandonado,2018,0.0,69.7
74,15,BOYACÁ,15401,LA VICTORIA,Cultivo abandonado,2018,0.0,38.4
75,15,BOYACÁ,15442,MARIPÍ,Cultivo abandonado,2018,0.0,67.0
76,15,BOYACÁ,15480,MUZO,Cultivo abandonado,2018,0.0,40.7
77,15,BOYACÁ,15507,OTANCHE,Cultivo intermintente,2018,2.8,44.7
78,15,BOYACÁ,15531,PAUNA,Cultivo abandonado,2018,0.0,47.4
79,15,BOYACÁ,15572,PUERTO BOYACÁ,Cultivo permanente,2018,13.68,33.6
80,15,BOYACÁ,15580,QUÍPAMA,Cultivo abandonado,2018,0.0,64.6
81,15,BOYACÁ,15681,SAN PABLO DE BORBUR,Cultivo abandonado,2018,0.0,53.7
82,15,BOYACÁ,15696,SANTA SOFÍA,Cultivo abandonado,2018,0.0,31.4
83,15,BOYACÁ,15832,TUNUNGUÁ,Cultivo abandonado,2018,0.0,42.1
84,17,CALDAS,17433,MANZANARES,Cultivo abandonado,2018,0.0,37.5
85,17,CALDAS,17495,NORCASIA,Cultivo abandonado,2018,0.0,41.4
86,17,CALDAS,17541,PENSILVANIA,Cultivo abandonado,2018,0.0,37.3
87,17,CALDAS,17662,SAMANÁ,Cultivo abandonado,2018,0.0,39.9
88,17,CALDAS,17867,VICTORIA,Cultivo abandonado,2018,0.0,34.9
89,18,CAQUETÁ,18029,ALBANIA,Cultivo permanente,2018,61.92,38.8
90,18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,Cultivo intermintente,2018,303.88,50.0
91,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,Cultivo permanente,2018,1006.74,63.3
92,18,CAQUETÁ,18205,CURILLO,Cultivo permanente,2018,342.83,55.4
93,18,CAQUETÁ,18247,EL DONCELLO,Cultivo permanente,2018,413.36,44.3
94,18,CAQUETÁ,18256,EL PAUJIL,Cultivo permanente,2018,704.08,45.5
95,18,CAQUETÁ,18001,FLORENCIA,Cultivo permanente,2018,267.99,29.6
96,18,CAQUETÁ,18460,MILÁN,Cultivo permanente,2018,1226.44,64.6
97,18,CAQUETÁ,18410,MONTAÑITA,Cultivo permanente,2018,2989.69,56.2
98,18,CAQUETÁ,18479,MORELIA,Cultivo intermintente,2018,21.04,42.4
99,18,CAQUETÁ,18592,PUERTO RICO,Cultivo permanente,2018,1454.45,54.3
100,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,Cultivo permanente,2018,1592.82,48.7
101,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,Cultivo permanente,2018,264.01,56.3
102,18,CAQUETÁ,18756,SOLANO,Cultivo permanente,2018,825.37,71.9
103,18,CAQUETÁ,18785,SOLITA,Cultivo permanente,2018,55.15,58.1
104,18,CAQUETÁ,18860,VALPARAÍSO,Cultivo permanente,2018,231.95,50.0
105,19,CAUCA,19022,ALMAGUER,Cultivo abandonado,2018,0.0,62.9
106,19,CAUCA,19050,ARGELIA,Cultivo permanente,2018,2369.96,50.1
107,19,CAUCA,19075,BALBOA,Cultivo permanente,2018,198.37,47.1
108,19,CAUCA,19100,BOLÍVAR,Cultivo permanente,2018,15.9,51.1
109,19,CAUCA,19110,BUENOS AIRES,Cultivo intermintente,2018,125.74,42.5
110,19,CAUCA,19130,CAJIBÍO,Cultivo intermintente,2018,323.07,56.9
111,19,CAUCA,19137,CALDONO,Cultivo emergente,2018,0.0,56.0
112,19,CAUCA,19142,CALOTO,Cultivo intermintente,2018,1.6,37.4
113,19,CAUCA,19212,CORINTO,Cultivo intermintente,2018,10.54,33.7
114,19,CAUCA,19256,EL TAMBO,Cultivo permanente,2018,7242.99,46.0
115,19,CAUCA,19290,FLORENCIA,Cultivo abandonado,2018,0.0,36.3
116,19,CAUCA,19318,GUAPI,Cultivo permanente,2018,678.57,68.9
117,19,CAUCA,19364,JAMBALÓ,Cultivo emergente,2018,0.0,46.5
118,19,CAUCA,19392,LA SIERRA,Cultivo abandonado,2018,0.0,53.6
119,19,CAUCA,19397,LA VEGA,Cultivo abandonado,2018,0.0,56.7
120,19,CAUCA,19418,LÓPEZ,Cultivo permanente,2018,1319.76,81.2
121,19,CAUCA,19450,MERCADERES,Cultivo intermintente,2018,25.14,46.6
122,19,CAUCA,19455,MIRANDA,Cultivo intermintente,2018,2.27,21.6
123,19,CAUCA,19473,MORALES,Cultivo permanente,2018,309.79,48.7
124,19,CAUCA,19532,PATÍA  ,Cultivo permanente,2018,405.01,44.1
125,19,CAUCA,19533,PIAMONTE,Cultivo permanente,2018,1997.22,44.0
126,19,CAUCA,19548,PIENDAMÓ,Cultivo emergente,2018,0.0,30.7
127,19,CAUCA,19622,ROSAS,Cultivo intermintente,2018,3.89,43.2
128,19,CAUCA,19701,SANTA ROSA,Cultivo intermintente,2018,0.0,66.1
129,19,CAUCA,19698,SANTANDER DE QUILICHAO,Cultivo emergente,2018,0.0,23.8
130,19,CAUCA,19760,SOTARÁ ,Cultivo abandonado,2018,0.0,32.3
131,19,CAUCA,19780,SUÁREZ,Cultivo permanente,2018,383.53,44.1
132,19,CAUCA,19785,SUCRE,Cultivo permanente,2018,6.8,75.5
133,19,CAUCA,19807,TIMBÍO,Cultivo intermintente,2018,0.0,35.7
134,19,CAUCA,19809,TIMBIQUÍ,Cultivo permanente,2018,1696.92,72.4
135,19,CAUCA,19821,TORIBÍO,Cultivo intermintente,2018,0.0,45.1
136,20,CESAR,20178,CHIRIGUANÁ,Cultivo abandonado,2018,0.0,41.3
137,20,CESAR,20310,GONZÁLEZ,Cultivo permanente,2018,7.1,56.6
138,20,CESAR,20517,PAILITAS,Cultivo abandonado,2018,0.0,46.1
139,20,CESAR,20710,SAN ALBERTO,Cultivo intermintente,2018,13.79,31.9
140,20,CESAR,20770,SAN MARTÍN,Cultivo intermintente,2018,10.21,41.7
141,27,CHOCÓ,27006,ACANDÍ,Cultivo permanente,2018,4.47,51.4
142,27,CHOCÓ,27025,ALTO BAUDÓ ,Cultivo permanente,2018,21.62,90.6
143,27,CHOCÓ,27050,ATRATO ,Cultivo intermintente,2018,0.0,61.5
144,27,CHOCÓ,27075,BAHÍA SOLANO ,Cultivo abandonado,2018,0.0,46.6
145,27,CHOCÓ,27077,BAJO BAUDÓ  ,Cultivo permanente,2018,53.69,80.4
