,CODDEPTO,AÑO,Hectáreas cultivadas,DEPARTAMENTO,PIB
0,5,2005,6414.0,ANTIOQUIA,51006.83699479885
1,5,2006,6156.0,ANTIOQUIA,57285.04771720126
2,5,2007,9926.0,ANTIOQUIA,64513.561945045
3,5,2008,6096.0,ANTIOQUIA,68424.94881898418
4,5,2009,4553.0,ANTIOQUIA,71308.81497403723
5,5,2010,5350.0,ANTIOQUIA,75981.8714210716
6,5,2011,3105.0,ANTIOQUIA,85578.12207356477
7,5,2012,2725.0,ANTIOQUIA,92318.04367653646
8,5,2013,991.0,ANTIOQUIA,98572.84854174512
9,5,2014,2293.0,ANTIOQUIA,106818.96132105796
10,5,2015,2402.57,ANTIOQUIA,115446.2569833156
11,5,2016,8855.28,ANTIOQUIA,126021.64407252638
12,5,2017,13680.83,ANTIOQUIA,132368.59065390422
13,5,2018,13403.09,ANTIOQUIA,141680.0803320556
14,5,2019,9481.93,ANTIOQUIA,153559.44893857834
15,5,2020,12090.19,ANTIOQUIA,148236.1092044369
16,5,2021,16980.91,ANTIOQUIA,177836.52474560376
17,5,2022,16167.98,ANTIOQUIA,212514.95735553344
18,13,2005,3670.0,BOLÍVAR,11169.047763639472
19,13,2006,2382.0,BOLÍVAR,12844.796309745636
20,13,2007,5632.0,BOLÍVAR,14687.660722084038
21,13,2008,5847.0,BOLÍVAR,16047.691294450937
22,13,2009,4777.0,BOLÍVAR,16432.357120825563
23,13,2010,3324.0,BOLÍVAR,18363.00389008468
24,13,2011,2207.0,BOLÍVAR,21489.00908386008
25,13,2012,1968.0,BOLÍVAR,23078.33285253121
26,13,2013,925.0,BOLÍVAR,25858.703060108404
27,13,2014,1565.0,BOLÍVAR,26623.46238676746
28,13,2015,1043.02,BOLÍVAR,28105.21128828678
29,13,2016,4094.2799999999997,BOLÍVAR,30917.85884539364
30,13,2017,6179.01,BOLÍVAR,33393.78051998379
31,13,2018,8613.68,BOLÍVAR,35410.28620845884
32,13,2019,7965.09,BOLÍVAR,38285.29896800064
33,13,2020,9373.25,BOLÍVAR,34562.63951429838
34,13,2021,11514.38,BOLÍVAR,42026.72354815231
35,13,2022,10368.03,BOLÍVAR,51404.3523695359
36,15,2005,342.0,BOYACÁ,8225.995953619826
37,15,2006,441.0,BOYACÁ,9214.996356271176
38,15,2007,79.0,BOYACÁ,10950.74146092062
39,15,2008,197.0,BOYACÁ,12771.129629614044
40,15,2009,183.0,BOYACÁ,13261.199689609117
41,15,2010,105.0,BOYACÁ,14474.5275445916
42,15,2011,94.0,BOYACÁ,17260.034051694256
43,15,2012,10.0,BOYACÁ,18313.93916853476
44,15,2013,17.0,BOYACÁ,19380.0591082274
45,15,2014,14.0,BOYACÁ,20839.474104019195
46,15,2015,7.71,BOYACÁ,22164.68337283773
47,15,2016,14.99,BOYACÁ,23671.13060644505
48,15,2017,21.99,BOYACÁ,24782.2625694136
49,15,2018,16.48,BOYACÁ,26884.20724344469
50,15,2019,4.24,BOYACÁ,28573.546284721087
51,15,2020,6.35,BOYACÁ,26363.649861794805
52,15,2021,17.95,BOYACÁ,31208.481549043157
53,15,2022,47.29,BOYACÁ,38858.16212261136
54,17,2005,189.46,CALDAS,6015.344484385062
55,17,2006,461.0,CALDAS,6888.067019027826
56,17,2007,56.0,CALDAS,7609.454209624905
57,17,2008,187.0,CALDAS,8181.235796860499
58,17,2009,167.0,CALDAS,8363.561927907655
59,17,2010,45.0,CALDAS,8821.971192117922
60,17,2011,46.0,CALDAS,9343.10195945864
61,17,2012,16.0,CALDAS,9748.222330316024
62,17,2013,8.0,CALDAS,10497.85368328992
63,17,2014,0.0,CALDAS,11518.624890664774
64,17,2015,0.0,CALDAS,12513.501744755558
