,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas
0,91,AMAZONAS,91263,EL ENCANTO ,Cultivo intermintente,2001,191.82
1,91,AMAZONAS,91405,LA CHORRERA ,Cultivo intermintente,2001,65.0
2,91,AMAZONAS,91407,LA PEDRERA ,Cultivo abandonado,2001,0.0
3,91,AMAZONAS,91430,LA VICTORIA  ,Cultivo abandonado,2001,0.0
4,91,AMAZONAS,91460,MIRITÍ-PARANÁ  ,Cultivo abandonado,2001,6.0
5,91,AMAZONAS,91530,PUERTO ALEGRÍA ,Cultivo permanente,2001,212.34
6,91,AMAZONAS,91536,PUERTO ARICA ,Cultivo abandonado,2001,0.0
7,91,AMAZONAS,91669,SANTANDER  ,Cultivo abandonado,2001,33.0
8,5,ANTIOQUIA,5031,AMALFI,Cultivo permanente,2001,36.61
9,5,ANTIOQUIA,5040,ANORÍ,Cultivo permanente,2001,201.25
10,5,ANTIOQUIA,5045,APARTADÓ,Cultivo permanente,2001,0.0
11,5,ANTIOQUIA,5055,ARGELIA,Cultivo abandonado,2001,0.0
12,5,ANTIOQUIA,5107,BRICEÑO,Cultivo permanente,2001,24.17
13,5,ANTIOQUIA,5120,CÁCERES,Cultivo permanente,2001,229.11
14,5,ANTIOQUIA,5134,CAMPAMENTO,Cultivo permanente,2001,0.0
15,5,ANTIOQUIA,5142,CARACOLÍ,Cultivo abandonado,2001,0.0
16,5,ANTIOQUIA,5147,CAREPA,Cultivo abandonado,2001,0.0
17,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,Cultivo abandonado,2001,0.0
18,5,ANTIOQUIA,5154,CAUCASIA,Cultivo intermintente,2001,95.11
19,5,ANTIOQUIA,5172,CHIGORODÓ,Cultivo intermintente,2001,0.0
20,5,ANTIOQUIA,5197,COCORNÁ,Cultivo abandonado,2001,0.0
21,5,ANTIOQUIA,5234,DABEIBA,Cultivo abandonado,2001,40.0
22,5,ANTIOQUIA,5250,EL BAGRE,Cultivo permanente,2001,452.25
23,5,ANTIOQUIA,5284,FRONTINO,Cultivo abandonado,2001,1.0
24,5,ANTIOQUIA,5310,GÓMEZ PLATA,Cultivo abandonado,2001,24.96
25,5,ANTIOQUIA,5361,ITUANGO,Cultivo permanente,2001,134.67
26,5,ANTIOQUIA,5425,MACEO,Cultivo abandonado,2001,7.95
27,5,ANTIOQUIA,5475,MURINDÓ,Cultivo intermintente,2001,0.0
28,5,ANTIOQUIA,5480,MUTATÁ,Cultivo intermintente,2001,1.0
29,5,ANTIOQUIA,5483,NARIÑO,Cultivo abandonado,2001,0.0
30,5,ANTIOQUIA,5495,NECHÍ,Cultivo permanente,2001,15.67
31,5,ANTIOQUIA,5490,NECOCLÍ,Cultivo abandonado,2001,0.0
32,5,ANTIOQUIA,5579,PUERTO BERRÍO,Cultivo abandonado,2001,0.0
33,5,ANTIOQUIA,5585,PUERTO NARE,Cultivo abandonado,2001,0.0
34,5,ANTIOQUIA,5591,PUERTO TRIUNFO,Cultivo abandonado,2001,0.0
35,5,ANTIOQUIA,5604,REMEDIOS,Cultivo permanente,2001,443.32
36,5,ANTIOQUIA,5628,SABANALARGA,Cultivo abandonado,2001,0.0
37,5,ANTIOQUIA,5649,SAN CARLOS,Cultivo intermintente,2001,1.0
38,5,ANTIOQUIA,5652,SAN FRANCISCO,Cultivo permanente,2001,22.85
39,5,ANTIOQUIA,5660,SAN LUIS,Cultivo permanente,2001,13.02
40,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,Cultivo intermintente,2001,0.0
41,5,ANTIOQUIA,5667,SAN RAFAEL,Cultivo abandonado,2001,9.15
42,5,ANTIOQUIA,5670,SAN ROQUE,Cultivo abandonado,2001,92.01
43,5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,Cultivo abandonado,2001,3.89
44,5,ANTIOQUIA,5736,SEGOVIA,Cultivo permanente,2001,211.64
45,5,ANTIOQUIA,5756,SONSÓN,Cultivo intermintente,2001,1.0
46,5,ANTIOQUIA,5790,TARAZÁ,Cultivo permanente,2001,684.18
47,5,ANTIOQUIA,5819,TOLEDO,Cultivo emergente,2001,0.0
48,5,ANTIOQUIA,5837,TURBO,Cultivo permanente,2001,0.0
49,5,ANTIOQUIA,5842,URAMITA,Cultivo abandonado,2001,3.58
50,5,ANTIOQUIA,5847,URRAO,Cultivo abandonado,2001,0.0
