,CODDEPTO,AÑO,Hectáreas cultivadas,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
0,5,2011,3105.0,ANTIOQUIA,1288473,94.01,93.85,106.81,3.97,93.98,2.06,4.25
1,5,2012,2725.0,ANTIOQUIA,1278686,92.79,92.65,105.8,4.01,92.04,3.95,1.93
2,5,2013,991.0,ANTIOQUIA,1272458,92.06,91.93,105.69,3.57,91.59,4.84,1.57
3,5,2014,2293.0,ANTIOQUIA,1266533,90.97,90.85,103.9,2.33,95.08,2.59,2.09
4,5,2015,2402.57,ANTIOQUIA,1262800,89.92,89.79,103.14,3.82,89.34,6.84,2.83
5,5,2016,8855.28,ANTIOQUIA,1265147,88.2,88.08,101.72,4.47,88.4,7.13,3.02
6,5,2017,13680.83,ANTIOQUIA,1270105,86.1,86.0,98.15,4.15,88.68,7.16,6.52
7,5,2018,13403.09,ANTIOQUIA,1147598,84.72,94.11,108.39,3.97,89.13,6.91,3.13
8,5,2019,9481.93,ANTIOQUIA,1149985,94.0,93.83,107.57,4.02,88.38,7.59,3.19
9,5,2020,12090.19,ANTIOQUIA,1151149,93.59,93.43,106.19,2.3,89.97,7.73,6.48
10,5,2021,16980.91,ANTIOQUIA,1149861,92.62,92.45,104.69,4.81,87.52,7.66,5.84
11,5,2022,16167.98,ANTIOQUIA,1134099,93.5,93.32,104.84,4.73,87.1,8.17,6.49
12,13,2011,2207.0,BOLÍVAR,496676,91.57,91.4,110.41,3.14,94.76,2.1,4.43
13,13,2012,1968.0,BOLÍVAR,495108,88.97,88.87,103.53,3.39,92.83,3.78,2.4
14,13,2013,925.0,BOLÍVAR,492500,89.66,89.55,103.72,2.56,94.23,3.2,1.91
15,13,2014,1565.0,BOLÍVAR,490573,87.5,87.41,98.71,3.53,94.1,2.37,1.96
16,13,2015,1043.02,BOLÍVAR,488886,88.78,88.69,100.18,3.01,91.5,5.49,1.83
17,13,2016,4094.2799999999997,BOLÍVAR,487274,89.5,89.41,101.18,2.97,91.68,5.35,2.16
18,13,2017,6179.01,BOLÍVAR,486067,90.7,90.58,102.17,2.65,91.16,6.19,4.4
19,13,2018,8613.68,BOLÍVAR,455784,92.71,98.6,112.48,2.75,90.31,6.93,3.82
20,13,2019,7965.09,BOLÍVAR,461988,99.44,99.33,112.39,2.99,90.5,6.51,3.59
21,13,2020,9373.25,BOLÍVAR,466941,98.91,98.8,110.4,2.03,94.06,3.91,5.92
22,13,2021,11514.38,BOLÍVAR,469046,99.39,99.3,111.33,3.69,88.65,7.66,4.1
23,13,2022,10368.03,BOLÍVAR,464305,100.32,100.19,113.09,4.01,88.82,7.17,6.85
24,15,2011,94.0,BOYACÁ,300501,86.16,86.11,104.15,3.07,94.2,2.73,2.62
25,15,2012,10.0,BOYACÁ,297132,85.7,85.64,99.96,3.23,91.92,4.86,2.0
26,15,2013,17.0,BOYACÁ,292312,85.1,85.05,96.3,2.45,93.41,4.14,1.69
27,15,2014,14.0,BOYACÁ,288366,83.94,83.89,94.74,1.89,93.8,4.31,2.24
28,15,2015,7.71,BOYACÁ,284611,83.62,83.57,93.37,2.22,93.27,4.51,2.27
29,15,2016,14.99,BOYACÁ,279627,83.8,83.7,96.0,2.46,93.5,4.04,2.18
30,15,2017,21.99,BOYACÁ,275027,83.5,83.48,94.76,2.15,92.61,5.25,2.3
31,15,2018,16.48,BOYACÁ,234116,83.54,96.54,106.84,2.07,92.59,5.34,1.69
32,15,2019,4.24,BOYACÁ,234368,96.6,96.51,108.44,2.05,92.02,5.93,1.92
33,15,2020,6.35,BOYACÁ,234540,94.91,94.84,103.67,1.7,90.55,7.75,5.42
34,15,2021,17.95,BOYACÁ,234348,95.55,95.48,104.85,2.97,88.05,8.98,5.91
35,15,2022,47.29,BOYACÁ,234191,93.95,93.87,102.84,2.9,89.9,7.2,7.61
36,17,2011,46.0,CALDAS,201185,87.04,86.98,98.13,4.13,90.62,5.25,4.67
37,17,2012,16.0,CALDAS,198526,84.55,84.5,96.6,4.64,88.95,6.4,4.32
38,17,2013,8.0,CALDAS,196982,82.58,82.54,94.92,4.1,88.64,7.25,1.87
39,17,2014,0.0,CALDAS,195455,80.96,80.93,92.36,2.65,94.74,2.6,1.73
40,17,2015,0.0,CALDAS,194108,78.9,78.86,90.19,3.67,88.13,8.2,2.18
41,17,2016,0.0,CALDAS,192703,77.4,77.4,88.86,4.28,89.16,6.56,2.16
42,17,2017,0.0,CALDAS,191444,75.8,75.72,86.35,3.47,89.46,7.07,3.08
43,17,2018,0.0,CALDAS,162391,74.38,87.08,99.49,2.96,90.77,6.27,3.35
44,17,2019,0.0,CALDAS,161892,85.98,85.88,97.69,3.31,89.01,7.68,3.67
45,17,2020,0.0,CALDAS,161746,84.65,84.57,96.32,2.35,92.89,4.76,6.48
46,17,2021,0.0,CALDAS,161737,84.34,84.25,95.87,3.1,90.2,6.7,4.46
47,17,2022,0.0,CALDAS,159847,83.32,83.21,93.5,3.81,88.6,7.59,6.0
48,18,2011,3327.0,CAQUETÁ,124148,88.78,88.76,106.03,3.64,96.06,0.3,4.17
49,18,2012,3694.0,CAQUETÁ,124622,83.28,83.25,98.26,7.23,91.6,1.16,1.16
50,18,2013,4322.0,CAQUETÁ,124458,80.95,80.94,95.55,6.55,92.48,0.96,1.32
51,18,2014,6542.0,CAQUETÁ,124473,79.36,79.33,91.71,4.23,95.67,0.1,1.18
52,18,2015,7712.469999999999,CAQUETÁ,124382,73.14,73.12,85.42,4.87,91.65,3.48,1.26
53,18,2016,9343.11,CAQUETÁ,124296,75.4,75.36,88.13,6.88,91.69,1.43,2.2
54,18,2017,11793.25,CAQUETÁ,124222,74.4,74.37,88.1,6.73,90.51,2.76,3.43
55,18,2018,11761.72,CAQUETÁ,98639,73.14,92.04,107.89,5.5,92.62,1.88,2.52
56,18,2019,4511.46,CAQUETÁ,98675,90.52,90.49,105.49,5.32,92.63,2.05,2.6
57,18,2020,2054.94,CAQUETÁ,98602,88.94,88.91,101.54,6.28,83.74,9.98,4.19
