,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Hectáreas asperjadas
0,5,ANTIOQUIA,5120,CÁCERES,1994,0.0
1,5,ANTIOQUIA,5361,ITUANGO,1994,0.0
2,5,ANTIOQUIA,5652,SAN FRANCISCO,1994,0.0
3,5,ANTIOQUIA,5790,TARAZÁ,1994,0.0
4,5,ANTIOQUIA,5854,VALDIVIA,1994,0.0
5,18,CAQUETÁ,18029,ALBANIA,1994,0.0
6,18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,1994,0.0
7,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,1994,0.0
8,18,CAQUETÁ,18205,CURILLO,1994,0.0
9,18,CAQUETÁ,18247,EL DONCELLO,1994,0.0
10,18,CAQUETÁ,18256,EL PAUJÍL,1994,0.0
11,18,CAQUETÁ,18410,LA MONTAÑITA,1994,0.0
12,18,CAQUETÁ,18460,MILÁN,1994,0.0
13,18,CAQUETÁ,18592,PUERTO RICO,1994,0.0
14,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,1994,0.0
15,18,CAQUETÁ,18756,SOLANO,1994,0.0
16,18,CAQUETÁ,18785,SOLITA,1994,0.0
17,18,CAQUETÁ,18860,VALPARAÍSO,1994,0.0
18,19,CAUCA,19533,PIAMONTE,1994,0.0
19,23,CÓRDOBA,23580,PUERTO LIBERTADOR,1994,0.0
20,50,META,50325,MAPIRIPÁN,1994,0.0
21,50,META,50450,PUERTO CONCORDIA,1994,0.0
22,50,META,50577,PUERTO LLERAS,1994,0.0
23,50,META,50590,PUERTO RICO,1994,503.0
24,50,META,50689,SAN MARTÍN,1994,214.0
25,50,META,50711,VISTAHERMOSA,1994,12.0
26,86,PUTUMAYO,86569,PUERTO CAICEDO,1994,0.0
27,86,PUTUMAYO,86571,PUERTO GUZMÁN,1994,0.0
28,86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,1994,0.0
29,86,PUTUMAYO,86885,VILLAGARZÓN,1994,0.0
30,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,1994,1704.0
31,95,GUAVIARE,95015,CALAMAR,1994,77.0
32,95,GUAVIARE,95025,EL RETORNO,1994,1099.0
33,95,GUAVIARE,95200,MIRAFLORES,1994,262.0
34,97,VAUPÉS,97161,CARURÚ,1994,0.0
35,99,VICHADA,99524,LA PRIMAVERA,1994,0.0
