,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría,AÑO,Hectáreas erradicadas
0,5,ANTIOQUIA,5001,MEDELLÍN,Territorio sin intervenir en los últimos 5 años,1998,0.0
1,5,ANTIOQUIA,5040,ANORÍ,Territorio con erradiacion constante,1998,0.0
2,5,ANTIOQUIA,5055,ARGELIA,Territorio sin intervenir en los últimos 5 años,1998,0.0
3,5,ANTIOQUIA,5120,CÁCERES,Territorio con erradicacion intermitente,1998,0.0
4,5,ANTIOQUIA,5172,CHIGORODÓ,Territorio con erradicacion intermitente,1998,0.0
5,5,ANTIOQUIA,5250,EL BAGRE,Territorio con erradiacion constante,1998,0.0
6,5,ANTIOQUIA,5361,ITUANGO,Territorio con erradiacion constante,1998,0.0
7,5,ANTIOQUIA,5483,NARIÑO,Territorio con erradicacion intermitente,1998,0.0
8,5,ANTIOQUIA,5490,NECOCLÍ,Territorio sin intervenir en los últimos 5 años,1998,0.0
9,5,ANTIOQUIA,5495,NECHÍ,Territorio con erradiacion constante,1998,15.0
10,5,ANTIOQUIA,5541,PEÑOL,Territorio con erradicacion intermitente,1998,0.0
11,5,ANTIOQUIA,5604,REMEDIOS,Territorio con erradiacion constante,1998,30.0
12,5,ANTIOQUIA,5652,SAN FRANCISCO,Territorio con erradicacion intermitente,1998,0.0
13,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,Territorio con erradicacion intermitente,1998,0.0
14,5,ANTIOQUIA,5736,SEGOVIA,Territorio con erradiacion constante,1998,0.0
15,5,ANTIOQUIA,5756,SONSÓN,Territorio con erradicacion intermitente,1998,0.0
16,5,ANTIOQUIA,5790,TARAZÁ,Territorio con erradiacion constante,1998,122.0
17,5,ANTIOQUIA,5837,TURBO,Territorio con erradicacion intermitente,1998,16.0
18,5,ANTIOQUIA,5854,VALDIVIA,Territorio con erradicacion intermitente,1998,0.0
19,5,ANTIOQUIA,5858,VEGACHÍ,Territorio con erradicacion intermitente,1998,0.0
20,5,ANTIOQUIA,5893,YONDÓ,Territorio con erradicacion intermitente,1998,0.0
21,5,ANTIOQUIA,5895,ZARAGOZA,Territorio con erradiacion constante,1998,0.0
22,8,ATLÁNTICO,8573,PUERTO COLOMBIA,Territorio sin intervenir en los últimos 5 años,1998,0.0
23,13,BOLÍVAR,13006,ACHÍ,Territorio con erradicacion intermitente,1998,0.0
24,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,Territorio con erradicacion intermitente,1998,0.0
25,13,BOLÍVAR,13042,ARENAL,Territorio con erradicacion intermitente,1998,0.0
26,13,BOLÍVAR,13074,BARRANCO DE LOBA,Territorio con erradicacion intermitente,1998,0.0
27,13,BOLÍVAR,13160,CANTAGALLO,Territorio con erradiacion constante,1998,0.0
28,13,BOLÍVAR,13458,MONTECRISTO,Territorio con erradicacion intermitente,1998,3.0
29,13,BOLÍVAR,13549,PINILLOS,Territorio sin intervenir en los últimos 5 años,1998,0.0
30,13,BOLÍVAR,13600,RÍO VIEJO,Territorio con erradicacion intermitente,1998,0.0
31,13,BOLÍVAR,13654,SAN JACINTO,Territorio con erradicacion intermitente,1998,0.0
32,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,Territorio con erradicacion intermitente,1998,0.0
33,13,BOLÍVAR,13670,SAN PABLO,Territorio con erradiacion constante,1998,0.0
34,13,BOLÍVAR,13683,SANTA ROSA,Territorio sin intervenir en los últimos 5 años,1998,0.0
35,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,Territorio con erradiacion constante,1998,0.0
36,13,BOLÍVAR,13744,SIMITÍ,Territorio con erradiacion constante,1998,0.0
37,13,BOLÍVAR,13810,TIQUISIO,Territorio con erradiacion constante,1998,0.0
38,15,BOYACÁ,15047,AQUITANIA,Territorio sin intervenir en los últimos 5 años,1998,0.0
39,15,BOYACÁ,15109,BUENAVISTA,Territorio sin intervenir en los últimos 5 años,1998,0.0
40,15,BOYACÁ,15135,CAMPOHERMOSO,Territorio sin intervenir en los últimos 5 años,1998,0.0
41,15,BOYACÁ,15176,CHIQUINQUIRÁ,Territorio sin intervenir en los últimos 5 años,1998,0.0
42,15,BOYACÁ,15223,CUBARÁ,Territorio sin intervenir en los últimos 5 años,1998,0.0
43,15,BOYACÁ,15442,MARIPÍ,Territorio sin intervenir en los últimos 5 años,1998,0.0
44,15,BOYACÁ,15455,MIRAFLORES,Territorio sin intervenir en los últimos 5 años,1998,0.0
45,15,BOYACÁ,15480,MUZO,Territorio sin intervenir en los últimos 5 años,1998,0.0
46,15,BOYACÁ,15507,OTANCHE,Territorio con erradicacion intermitente,1998,4.0
47,15,BOYACÁ,15531,PAUNA,Territorio sin intervenir en los últimos 5 años,1998,150.0
48,15,BOYACÁ,15580,QUÍPAMA,Territorio sin intervenir en los últimos 5 años,1998,0.0
