,CODDEPTO,AÑO,Hectáreas cultivadas,DEPARTAMENTO,GINI
0,5,2002,3029.0,ANTIOQUIA,0.58
1,5,2003,4264.71,ANTIOQUIA,0.59
2,5,2004,5165.0,ANTIOQUIA,0.57
3,5,2005,6414.0,ANTIOQUIA,0.55
4,5,2008,6096.0,ANTIOQUIA,0.58
5,5,2009,4553.0,ANTIOQUIA,0.56
6,5,2010,5350.0,ANTIOQUIA,0.56
7,5,2011,3105.0,ANTIOQUIA,0.537
8,5,2012,2725.0,ANTIOQUIA,0.53
9,5,2013,991.0,ANTIOQUIA,0.53
10,5,2014,2293.0,ANTIOQUIA,0.56
11,13,2002,2735.0,BOLÍVAR,0.54
12,13,2003,4471.0599999999995,BOLÍVAR,0.48
13,13,2004,3401.09,BOLÍVAR,0.48
14,13,2005,3670.0,BOLÍVAR,0.48
15,13,2008,5847.0,BOLÍVAR,0.54
16,13,2009,4777.0,BOLÍVAR,0.53
17,13,2010,3324.0,BOLÍVAR,0.51
18,13,2011,2207.0,BOLÍVAR,0.5
19,13,2012,1968.0,BOLÍVAR,0.51
20,13,2013,925.0,BOLÍVAR,0.5
21,13,2014,1565.0,BOLÍVAR,0.51
22,15,2002,118.0,BOYACÁ,0.6
23,15,2003,593.9599999999999,BOYACÁ,0.59
24,15,2004,359.08,BOYACÁ,0.55
25,15,2005,342.0,BOYACÁ,0.56
26,15,2008,197.0,BOYACÁ,0.58
27,15,2009,183.0,BOYACÁ,0.53
28,15,2010,105.0,BOYACÁ,0.54
29,15,2011,94.0,BOYACÁ,0.538
30,15,2012,10.0,BOYACÁ,0.53
31,15,2013,17.0,BOYACÁ,0.53
32,15,2014,14.0,BOYACÁ,0.53
33,17,2002,0.0,CALDAS,0.5
34,17,2003,53.71,CALDAS,0.52
35,17,2004,358.08,CALDAS,0.52
36,17,2005,189.46,CALDAS,0.5
37,17,2008,187.0,CALDAS,0.55
38,17,2009,167.0,CALDAS,0.54
39,17,2010,45.0,CALDAS,0.53
40,17,2011,46.0,CALDAS,0.528
41,17,2012,16.0,CALDAS,0.52
42,17,2013,8.0,CALDAS,0.52
43,17,2014,0.0,CALDAS,0.52
44,18,2002,8412.0,CAQUETÁ,0.53
45,18,2003,7229.98,CAQUETÁ,0.51
46,18,2004,6498.0,CAQUETÁ,0.49
47,18,2005,4988.0,CAQUETÁ,0.53
48,18,2008,4303.0,CAQUETÁ,0.48
49,18,2009,3759.0,CAQUETÁ,0.49
50,18,2010,2578.0,CAQUETÁ,0.45
51,18,2011,3327.0,CAQUETÁ,0.459
52,18,2012,3694.0,CAQUETÁ,0.48
53,18,2013,4322.0,CAQUETÁ,0.47
54,18,2014,6542.0,CAQUETÁ,0.47
55,19,2002,2121.0,CAUCA,0.53
56,19,2003,1443.02,CAUCA,0.47
57,19,2004,1265.31,CAUCA,0.53
58,19,2005,2705.0,CAUCA,0.5
59,19,2008,5422.0,CAUCA,0.59
60,19,2009,6144.0,CAUCA,0.59
61,19,2010,5908.0,CAUCA,0.57
62,19,2011,6066.0,CAUCA,0.554
63,19,2012,4327.0,CAUCA,0.57
64,19,2013,3326.0,CAUCA,0.55
65,19,2014,6389.0,CAUCA,0.54
66,20,2002,0.0,CESAR,0.47
67,20,2003,0.0,CESAR,0.43
68,20,2004,0.0,CESAR,0.49
69,20,2005,0.0,CESAR,0.46
70,20,2008,5.0,CESAR,0.55
71,20,2009,0.0,CESAR,0.55
72,20,2010,0.0,CESAR,0.52
73,20,2011,0.0,CESAR,0.506
74,20,2012,12.0,CESAR,0.52
75,20,2013,13.0,CESAR,0.49
76,20,2014,10.0,CESAR,0.47
77,23,2002,385.0,CÓRDOBA,0.56
78,23,2003,837.6999999999999,CÓRDOBA,0.55
79,23,2004,1535.0,CÓRDOBA,0.53
80,23,2005,3136.0,CÓRDOBA,0.54
