,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Kilogramos incautadas
1,5,ANTIOQUIA,5001,MEDELLÍN,1999,113.965
2,5,ANTIOQUIA,5002,ABEJORRAL,1999,0.0
3,5,ANTIOQUIA,5021,ALEJANDRÍA,1999,0.0
4,5,ANTIOQUIA,5030,AMAGÁ,1999,0.0
5,5,ANTIOQUIA,5031,AMALFI,1999,0.0
6,5,ANTIOQUIA,5034,ANDES,1999,0.0
7,5,ANTIOQUIA,5036,ANGELÓPOLIS,1999,0.0
8,5,ANTIOQUIA,5038,ANGOSTURA,1999,0.0
9,5,ANTIOQUIA,5040,ANORÍ,1999,0.0
10,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,1999,0.0
11,5,ANTIOQUIA,5044,ANZÁ,1999,0.0
12,5,ANTIOQUIA,5045,APARTADÓ,1999,0.0
13,5,ANTIOQUIA,5079,BARBOSA,1999,129.855
14,5,ANTIOQUIA,5086,BELMIRA,1999,0.0
15,5,ANTIOQUIA,5088,BELLO,1999,0.0
16,5,ANTIOQUIA,5091,BETANIA,1999,0.0
17,5,ANTIOQUIA,5101,CIUDAD BOLÍVAR,1999,0.0
18,5,ANTIOQUIA,5120,CÁCERES,1999,0.0
19,5,ANTIOQUIA,5129,CALDAS,1999,1.0
20,5,ANTIOQUIA,5142,CARACOLÍ,1999,0.0
21,5,ANTIOQUIA,5145,CARAMANTA,1999,0.0
22,5,ANTIOQUIA,5147,CAREPA,1999,0.0
23,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,1999,0.0
24,5,ANTIOQUIA,5154,CAUCASIA,1999,2008.01
25,5,ANTIOQUIA,5190,CISNEROS,1999,0.0
26,5,ANTIOQUIA,5206,CONCEPCIÓN,1999,0.0
27,5,ANTIOQUIA,5212,COPACABANA,1999,7.428
28,5,ANTIOQUIA,5237,DON MATÍAS,1999,0.0
29,5,ANTIOQUIA,5240,EBÉJICO,1999,0.0
30,5,ANTIOQUIA,5250,EL BAGRE,1999,0.0
31,5,ANTIOQUIA,5264,ENTRERRIOS,1999,0.0
32,5,ANTIOQUIA,5266,ENVIGADO,1999,0.0
33,5,ANTIOQUIA,5282,FREDONIA,1999,0.0
34,5,ANTIOQUIA,5284,FRONTINO,1999,0.0
35,5,ANTIOQUIA,5306,GIRALDO,1999,290.932
36,5,ANTIOQUIA,5308,GIRARDOTA,1999,300.0
37,5,ANTIOQUIA,5310,GÓMEZ PLATA,1999,0.0
38,5,ANTIOQUIA,5318,GUARNE,1999,0.0
39,5,ANTIOQUIA,5321,GUATAPÉ,1999,0.0
40,5,ANTIOQUIA,5347,HELICONIA,1999,6.0
41,5,ANTIOQUIA,5360,ITAGÜÍ,1999,1.4
42,5,ANTIOQUIA,5364,JARDÍN,1999,0.0
43,5,ANTIOQUIA,5368,JERICÓ,1999,0.0
44,5,ANTIOQUIA,5376,LA CEJA,1999,0.92
45,5,ANTIOQUIA,5380,LA ESTRELLA,1999,0.0
46,5,ANTIOQUIA,5390,LA PINTADA,1999,0.0
47,5,ANTIOQUIA,5411,LIBORINA,1999,0.0
48,5,ANTIOQUIA,5425,MACEO,1999,0.0
49,5,ANTIOQUIA,5440,MARINILLA,1999,0.3
50,5,ANTIOQUIA,5467,MONTEBELLO,1999,0.0
51,5,ANTIOQUIA,5483,NARIÑO,1999,0.0
52,5,ANTIOQUIA,5490,NECOCLÍ,1999,0.0
53,5,ANTIOQUIA,5495,NECHÍ,1999,0.0
54,5,ANTIOQUIA,5541,PEÑOL,1999,0.0
55,5,ANTIOQUIA,5543,PEQUE,1999,0.0
56,5,ANTIOQUIA,5576,PUEBLORRICO,1999,0.0
57,5,ANTIOQUIA,5579,PUERTO BERRÍO,1999,0.13
58,5,ANTIOQUIA,5591,PUERTO TRIUNFO,1999,0.0
59,5,ANTIOQUIA,5604,REMEDIOS,1999,0.0
60,5,ANTIOQUIA,5607,RETIRO,1999,0.0
61,5,ANTIOQUIA,5615,RIONEGRO,1999,40.8
62,5,ANTIOQUIA,5631,SABANETA,1999,0.0
63,5,ANTIOQUIA,5649,SAN CARLOS,1999,0.0
64,5,ANTIOQUIA,5656,SAN JERÓNIMO,1999,0.0
65,5,ANTIOQUIA,5664,SAN PEDRO,1999,0.0
66,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,1999,0.0
67,5,ANTIOQUIA,5667,SAN RAFAEL,1999,0.0
68,5,ANTIOQUIA,5674,SAN VICENTE,1999,0.0
69,5,ANTIOQUIA,5679,SANTA BÁRBARA,1999,0.0
70,5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,1999,0.0
71,5,ANTIOQUIA,5697,SANTUARIO,1999,0.0
72,5,ANTIOQUIA,5736,SEGOVIA,1999,0.0
73,5,ANTIOQUIA,5789,TÁMESIS,1999,0.0
74,5,ANTIOQUIA,5790,TARAZÁ,1999,773.0
75,5,ANTIOQUIA,5792,TARSO,1999,0.0
76,5,ANTIOQUIA,5819,TOLEDO,1999,0.0
77,5,ANTIOQUIA,5837,TURBO,1999,120.0
78,5,ANTIOQUIA,5842,URAMITA,1999,0.0
79,5,ANTIOQUIA,5847,URRAO,1999,0.0
80,5,ANTIOQUIA,5854,VALDIVIA,1999,2.0
81,5,ANTIOQUIA,5858,VEGACHÍ,1999,0.0
82,5,ANTIOQUIA,5861,VENECIA,1999,0.0
83,5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,1999,0.0
84,5,ANTIOQUIA,5887,YARUMAL,1999,34.8
85,5,ANTIOQUIA,5890,YOLOMBÓ,1999,0.0
86,5,ANTIOQUIA,5893,YONDÓ ,1999,0.0
87,8,ATLANTICO,8001,BARRANQUILLA ,1999,1228.997
88,8,ATLANTICO,8078,BARANOA,1999,0.0
89,8,ATLANTICO,8137,CAMPO DE LA CRUZ,1999,0.0
90,8,ATLANTICO,8296,GALAPA,1999,0.0
91,8,ATLANTICO,8372,JUAN DE ACOSTA,1999,1128.0
92,8,ATLANTICO,8560,PONEDERA,1999,0.0
93,8,ATLANTICO,8573,PUERTO COLOMBIA,1999,0.0
94,8,ATLANTICO,8634,SABANAGRANDE,1999,0.0
95,8,ATLANTICO,8685,SANTO TOMÁS,1999,0.0
96,8,ATLANTICO,8758,SOLEDAD,1999,0.0
97,8,ATLANTICO,8770,SUAN,1999,0.0
98,11,BOGOTÁ D.C.,11001,BOGOTÁ D.C.,1999,3538.849
99,13,BOLÍVAR,13001,CARTAGENA DE INDIAS ,1999,2769.0
100,13,BOLÍVAR,13006,ACHÍ,1999,0.0
101,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,1999,0.0
102,13,BOLÍVAR,13042,ARENAL,1999,0.0
103,13,BOLÍVAR,13052,ARJONA,1999,0.0
104,13,BOLÍVAR,13160,CANTAGALLO,1999,0.0
105,13,BOLÍVAR,13212,CÓRDOBA,1999,0.0
106,13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,1999,0.0
107,13,BOLÍVAR,13430,MAGANGUÉ,1999,15.0
108,13,BOLÍVAR,13442,MARIA LA BAJA,1999,0.0
109,13,BOLÍVAR,13468,MOMPÓS,1999,0.0
110,13,BOLÍVAR,13549,PINILLOS,1999,0.0
111,13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,1999,0.0
112,13,BOLÍVAR,13670,SAN PABLO,1999,2.0
113,13,BOLÍVAR,13673,SANTA CATALINA,1999,0.0
114,13,BOLÍVAR,13683,SANTA ROSA,1999,0.0
115,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,1999,0.0
116,13,BOLÍVAR,13760,SOPLAVIENTO,1999,0.0
117,13,BOLÍVAR,13810,TIQUISIO ,1999,0.0
118,13,BOLÍVAR,13836,TURBACO,1999,0.0
