,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Kilogramos incautadas
0,5,ANTIOQUIA,5120,CÁCERES,1999,0.0
1,5,ANTIOQUIA,5154,CAUCASIA,1999,0.0
2,5,ANTIOQUIA,5172,CHIGORODÓ,1999,0.0
3,5,ANTIOQUIA,5237,DON MATÍAS,1999,0.0
4,5,ANTIOQUIA,5250,EL BAGRE,1999,0.0
5,5,ANTIOQUIA,5483,NARIÑO,1999,0.0
6,5,ANTIOQUIA,5495,NECHÍ,1999,0.0
7,5,ANTIOQUIA,5647,SAN ANDRÉS,1999,0.0
8,5,ANTIOQUIA,5652,SAN FRANCISCO,1999,250.0
9,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,1999,0.0
10,5,ANTIOQUIA,5670,SAN ROQUE,1999,0.0
11,5,ANTIOQUIA,5790,TARAZÁ,1999,3565.0
12,5,ANTIOQUIA,5792,TARSO,1999,0.0
13,5,ANTIOQUIA,5837,TURBO,1999,0.0
14,5,ANTIOQUIA,5854,VALDIVIA,1999,0.0
15,5,ANTIOQUIA,5893,YONDÓ ,1999,0.0
16,5,ANTIOQUIA,5895,ZARAGOZA,1999,0.0
17,8,ATLANTICO,8573,PUERTO COLOMBIA,1999,0.0
18,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,1999,0.0
19,13,BOLÍVAR,13074,BARRANCO DE LOBA,1999,1275.0
20,13,BOLÍVAR,13160,CANTAGALLO,1999,0.0
21,13,BOLÍVAR,13458,MONTECRISTO,1999,0.0
22,13,BOLÍVAR,13473,MORALES,1999,0.0
23,13,BOLÍVAR,13600,RIOVIEJO,1999,0.0
24,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,1999,0.0
25,13,BOLÍVAR,13670,SAN PABLO,1999,80250.0
26,13,BOLÍVAR,13683,SANTA ROSA,1999,0.0
27,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,1999,0.0
28,13,BOLÍVAR,13744,SIMITÍ,1999,0.0
29,13,BOLÍVAR,13810,TIQUISIO ,1999,0.0
30,15,BOYACÁ,15176,CHIQUINQUIRÁ,1999,0.0
31,15,BOYACÁ,15218,COVARACHÍA,1999,0.0
32,15,BOYACÁ,15299,GARAGOA,1999,0.0
33,15,BOYACÁ,15425,MACANAL,1999,0.0
34,15,BOYACÁ,15442,MARIPÍ,1999,0.0
35,15,BOYACÁ,15455,MIRAFLORES,1999,0.0
36,15,BOYACÁ,15480,MUZO,1999,0.0
37,15,BOYACÁ,15507,OTANCHE,1999,0.0
38,15,BOYACÁ,15531,PAUNA,1999,0.0
39,15,BOYACÁ,15572,PUERTO BOYACÁ,1999,0.0
40,15,BOYACÁ,15580,QUÍPAMA,1999,0.0
41,15,BOYACÁ,15681,SAN PABLO DE BORBUR,1999,0.0
42,15,BOYACÁ,15832,TUNUNGUÁ,1999,0.0
43,17,CALDAS,17001,MANIZALES,1999,0.0
44,17,CALDAS,17541,PENSILVANIA,1999,0.0
45,17,CALDAS,17653,SALAMINA,1999,0.0
46,17,CALDAS,17662,SAMANÁ,1999,0.0
47,18,CAQUETÁ,18001,FLORENCIA,1999,0.0
48,18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,1999,0.0
49,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,1999,0.0
50,18,CAQUETÁ,18205,CURILLO,1999,0.0
51,18,CAQUETÁ,18256,EL PAUJIL,1999,0.0
52,18,CAQUETÁ,18410,MONTAÑITA,1999,0.0
53,18,CAQUETÁ,18460,MILÁN,1999,3000.0
54,18,CAQUETÁ,18479,MORELIA,1999,0.0
55,18,CAQUETÁ,18592,PUERTO RICO,1999,0.0
56,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,1999,413.0
57,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,1999,2500.0
58,18,CAQUETÁ,18756,SOLANO,1999,0.0
59,18,CAQUETÁ,18785,SOLITA,1999,312.0
60,18,CAQUETÁ,18860,VALPARAÍSO,1999,0.0
61,19,CAUCA,19001,POPAYÁN,1999,0.0
62,19,CAUCA,19022,ALMAGUER,1999,0.0
63,19,CAUCA,19050,ARGELIA,1999,0.0
64,19,CAUCA,19075,BALBOA,1999,625.0
65,19,CAUCA,19100,BOLÍVAR,1999,4125.0
66,19,CAUCA,19137,CALDONO,1999,0.0
67,19,CAUCA,19142,CALOTO,1999,0.0
68,19,CAUCA,19212,CORINTO,1999,0.0
69,19,CAUCA,19256,EL TAMBO,1999,0.0
70,19,CAUCA,19290,FLORENCIA,1999,0.0
71,19,CAUCA,19318,GUAPI,1999,0.0
72,19,CAUCA,19355,INZÁ,1999,188.0
73,19,CAUCA,19392,LA SIERRA,1999,0.0
74,19,CAUCA,19397,LA VEGA,1999,0.0
75,19,CAUCA,19450,MERCADERES,1999,625.0
76,19,CAUCA,19455,MIRANDA,1999,50.0
77,19,CAUCA,19517,PÁEZ ,1999,0.0
78,19,CAUCA,19532,PATÍA  ,1999,88.0
79,19,CAUCA,19533,PIAMONTE,1999,0.0
80,19,CAUCA,19622,ROSAS,1999,0.0
81,19,CAUCA,19698,SANTANDER DE QUILICHAO,1999,0.0
82,19,CAUCA,19743,SILVIA,1999,0.0
83,19,CAUCA,19780,SUÁREZ,1999,0.0
84,19,CAUCA,19809,TIMBIQUÍ,1999,0.0
85,19,CAUCA,19821,TORIBÍO,1999,100.0
86,20,CESAR,20517,PAILITAS,1999,0.0
87,23,CÓRDOBA,23466,MONTELÍBANO,1999,0.0
88,23,CÓRDOBA,23580,PUERTO LIBERTADOR,1999,0.0
89,23,CÓRDOBA,23807,TIERRALTA,1999,0.0
90,25,CUNDINAMARCA,25518,PAIME,1999,0.0
91,25,CUNDINAMARCA,25718,SASAIMA,1999,0.0
92,25,CUNDINAMARCA,25823,TOPAIPÍ,1999,0.0
