,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Kilogramos incautadas
0,5,ANTIOQUIA,5001,MEDELLÍN,1999,36.087
1,5,ANTIOQUIA,5002,ABEJORRAL,1999,0.0
2,5,ANTIOQUIA,5030,AMAGÁ,1999,0.0
3,5,ANTIOQUIA,5031,AMALFI,1999,0.0
4,5,ANTIOQUIA,5034,ANDES,1999,0.0
5,5,ANTIOQUIA,5038,ANGOSTURA,1999,0.0
6,5,ANTIOQUIA,5040,ANORÍ,1999,4.0
7,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,1999,40.0
8,5,ANTIOQUIA,5044,ANZÁ,1999,0.0
9,5,ANTIOQUIA,5045,APARTADÓ,1999,0.0
10,5,ANTIOQUIA,5079,BARBOSA,1999,35.0
11,5,ANTIOQUIA,5088,BELLO,1999,0.0
12,5,ANTIOQUIA,5107,BRICEÑO,1999,0.0
13,5,ANTIOQUIA,5113,BURITICÁ,1999,0.0
14,5,ANTIOQUIA,5120,CÁCERES,1999,0.0
15,5,ANTIOQUIA,5125,CAICEDO,1999,0.0
16,5,ANTIOQUIA,5129,CALDAS,1999,1.0
17,5,ANTIOQUIA,5134,CAMPAMENTO,1999,0.0
18,5,ANTIOQUIA,5138,CAÑASGORDAS,1999,0.0
19,5,ANTIOQUIA,5142,CARACOLÍ,1999,0.0
20,5,ANTIOQUIA,5145,CARAMANTA,1999,0.0
21,5,ANTIOQUIA,5147,CAREPA,1999,0.0
22,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,1999,0.0
23,5,ANTIOQUIA,5154,CAUCASIA,1999,2.0
24,5,ANTIOQUIA,5190,CISNEROS,1999,0.0
25,5,ANTIOQUIA,5197,COCORNÁ,1999,0.0
26,5,ANTIOQUIA,5212,COPACABANA,1999,0.5
27,5,ANTIOQUIA,5237,DON MATÍAS,1999,0.0
28,5,ANTIOQUIA,5250,EL BAGRE,1999,0.0
29,5,ANTIOQUIA,5264,ENTRERRIOS,1999,0.0
30,5,ANTIOQUIA,5266,ENVIGADO,1999,0.0
31,5,ANTIOQUIA,5282,FREDONIA,1999,0.0
32,5,ANTIOQUIA,5284,FRONTINO,1999,0.0
33,5,ANTIOQUIA,5308,GIRARDOTA,1999,31.0
34,5,ANTIOQUIA,5310,GÓMEZ PLATA,1999,0.0
35,5,ANTIOQUIA,5313,GRANADA,1999,0.0
36,5,ANTIOQUIA,5315,GUADALUPE,1999,0.0
37,5,ANTIOQUIA,5318,GUARNE,1999,0.0
38,5,ANTIOQUIA,5321,GUATAPÉ,1999,0.0
39,5,ANTIOQUIA,5347,HELICONIA,1999,8.0
40,5,ANTIOQUIA,5360,ITAGÜÍ,1999,0.0
41,5,ANTIOQUIA,5361,ITUANGO,1999,0.0
42,5,ANTIOQUIA,5376,LA CEJA,1999,0.0
43,5,ANTIOQUIA,5380,LA ESTRELLA,1999,0.0
44,5,ANTIOQUIA,5390,LA PINTADA,1999,0.0
45,5,ANTIOQUIA,5400,LA UNION,1999,0.0
46,5,ANTIOQUIA,5411,LIBORINA,1999,0.0
47,5,ANTIOQUIA,5425,MACEO,1999,100.0
48,5,ANTIOQUIA,5440,MARINILLA,1999,0.0
49,5,ANTIOQUIA,5467,MONTEBELLO,1999,0.0
50,5,ANTIOQUIA,5483,NARIÑO,1999,0.0
51,5,ANTIOQUIA,5490,NECOCLÍ,1999,0.0
52,5,ANTIOQUIA,5495,NECHÍ,1999,0.0
53,5,ANTIOQUIA,5579,PUERTO BERRÍO,1999,117.909
54,5,ANTIOQUIA,5585,PUERTO NARE,1999,0.0
55,5,ANTIOQUIA,5591,PUERTO TRIUNFO,1999,0.0
56,5,ANTIOQUIA,5607,RETIRO,1999,0.0
57,5,ANTIOQUIA,5615,RIONEGRO,1999,0.0
58,5,ANTIOQUIA,5628,SABANALARGA,1999,0.0
59,5,ANTIOQUIA,5631,SABANETA,1999,0.0
60,5,ANTIOQUIA,5647,SAN ANDRÉS,1999,2.7
61,5,ANTIOQUIA,5649,SAN CARLOS,1999,0.0
62,5,ANTIOQUIA,5652,SAN FRANCISCO,1999,22.5
63,5,ANTIOQUIA,5656,SAN JERÓNIMO,1999,0.0
64,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,1999,0.0
65,5,ANTIOQUIA,5667,SAN RAFAEL,1999,0.0
66,5,ANTIOQUIA,5670,SAN ROQUE,1999,0.0
67,5,ANTIOQUIA,5679,SANTA BÁRBARA,1999,0.0
68,5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,1999,0.0
69,5,ANTIOQUIA,5690,SANTO DOMINGO,1999,0.0
70,5,ANTIOQUIA,5736,SEGOVIA,1999,0.0
71,5,ANTIOQUIA,5756,SONSÓN,1999,5.0
72,5,ANTIOQUIA,5789,TÁMESIS,1999,0.0
73,5,ANTIOQUIA,5790,TARAZÁ,1999,1010.1
74,5,ANTIOQUIA,5792,TARSO,1999,0.0
75,5,ANTIOQUIA,5837,TURBO,1999,0.0
76,5,ANTIOQUIA,5842,URAMITA,1999,0.0
77,5,ANTIOQUIA,5847,URRAO,1999,0.0
78,5,ANTIOQUIA,5854,VALDIVIA,1999,2.0
79,5,ANTIOQUIA,5861,VENECIA,1999,0.0
80,5,ANTIOQUIA,5887,YARUMAL,1999,7.2
81,5,ANTIOQUIA,5890,YOLOMBÓ,1999,0.0
82,5,ANTIOQUIA,5893,YONDÓ ,1999,0.0
83,5,ANTIOQUIA,5895,ZARAGOZA,1999,0.0
84,8,ATLANTICO,8001,BARRANQUILLA ,1999,0.0
