,CODDEPTO,DEPARTAMENTO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas,Ingreso tributario
0,5,ANTIOQUIA,AMALFI,Cultivo permanente,2001,36.61,5672.11
1,5,ANTIOQUIA,ANORÍ,Cultivo permanente,2001,201.25,4690.84
2,5,ANTIOQUIA,APARTADÓ,Cultivo permanente,2001,0.0,20387.85
3,5,ANTIOQUIA,ARGELIA,Cultivo abandonado,2001,0.0,3844.72
4,5,ANTIOQUIA,BRICEÑO,Cultivo permanente,2001,24.17,2459.76
5,5,ANTIOQUIA,CÁCERES,Cultivo permanente,2001,229.11,6453.52
6,5,ANTIOQUIA,CAMPAMENTO,Cultivo permanente,2001,0.0,3710.4
7,5,ANTIOQUIA,CARACOLÍ,Cultivo abandonado,2001,0.0,1898.39
8,5,ANTIOQUIA,CAREPA,Cultivo abandonado,2001,0.0,8680.29
9,5,ANTIOQUIA,CARMEN DE VIBORAL,Cultivo abandonado,2001,0.0,5597.35
10,5,ANTIOQUIA,CAUCASIA,Cultivo intermintente,2001,95.11,14436.05
11,5,ANTIOQUIA,CHIGORODÓ,Cultivo intermintente,2001,0.0,11558.13
12,5,ANTIOQUIA,COCORNÁ,Cultivo abandonado,2001,0.0,4967.17
13,5,ANTIOQUIA,DABEIBA,Cultivo abandonado,2001,40.0,6210.45
14,5,ANTIOQUIA,EL BAGRE,Cultivo permanente,2001,452.25,8445.96
15,5,ANTIOQUIA,FRONTINO,Cultivo abandonado,2001,1.0,5766.43
16,5,ANTIOQUIA,GÓMEZ PLATA,Cultivo abandonado,2001,24.96,3828.34
17,5,ANTIOQUIA,ITUANGO,Cultivo permanente,2001,134.67,8167.83
18,5,ANTIOQUIA,MACEO,Cultivo abandonado,2001,7.95,5181.46
19,5,ANTIOQUIA,MURINDÓ,Cultivo intermintente,2001,0.0,1382.35
20,5,ANTIOQUIA,MUTATÁ,Cultivo intermintente,2001,1.0,4862.95
21,5,ANTIOQUIA,NARIÑO,Cultivo abandonado,2001,0.0,3719.48
22,5,ANTIOQUIA,NECHÍ,Cultivo permanente,2001,15.67,3946.98
23,5,ANTIOQUIA,NECOCLÍ,Cultivo abandonado,2001,0.0,8214.04
24,5,ANTIOQUIA,PUERTO BERRÍO,Cultivo abandonado,2001,0.0,0.0
25,5,ANTIOQUIA,PUERTO NARE,Cultivo abandonado,2001,0.0,7974.79
26,5,ANTIOQUIA,PUERTO TRIUNFO,Cultivo abandonado,2001,0.0,5994.59
27,5,ANTIOQUIA,REMEDIOS,Cultivo permanente,2001,443.32,8727.68
28,5,ANTIOQUIA,SABANALARGA,Cultivo abandonado,2001,0.0,3204.21
29,5,ANTIOQUIA,SAN CARLOS,Cultivo intermintente,2001,1.0,10851.8
30,5,ANTIOQUIA,SAN FRANCISCO,Cultivo permanente,2001,22.85,4094.55
31,5,ANTIOQUIA,SAN LUIS,Cultivo permanente,2001,13.02,3749.17
32,5,ANTIOQUIA,SAN PEDRO DE URABÁ,Cultivo intermintente,2001,0.0,6858.63
33,5,ANTIOQUIA,SAN RAFAEL,Cultivo abandonado,2001,9.15,6185.14
34,5,ANTIOQUIA,SAN ROQUE,Cultivo abandonado,2001,92.01,5199.32
35,5,ANTIOQUIA,SANTA ROSA DE OSOS,Cultivo abandonado,2001,3.89,7830.98
36,5,ANTIOQUIA,SEGOVIA,Cultivo permanente,2001,211.64,7796.69
37,5,ANTIOQUIA,SONSÓN,Cultivo intermintente,2001,1.0,7826.94
38,5,ANTIOQUIA,TARAZÁ,Cultivo permanente,2001,684.18,6536.94
39,5,ANTIOQUIA,TOLEDO,Cultivo emergente,2001,0.0,2907.17
40,5,ANTIOQUIA,TURBO,Cultivo permanente,2001,0.0,22954.94
41,5,ANTIOQUIA,URAMITA,Cultivo abandonado,2001,3.58,3088.53
42,5,ANTIOQUIA,URRAO,Cultivo abandonado,2001,0.0,8130.67
43,5,ANTIOQUIA,VALDIVIA,Cultivo permanente,2001,124.2,4198.63
44,5,ANTIOQUIA,VEGACHÍ,Cultivo intermintente,2001,66.41,3567.27
45,5,ANTIOQUIA,VIGÍA DEL FUERTE,Cultivo intermintente,2001,0.0,3151.1
46,5,ANTIOQUIA,YALÍ,Cultivo intermintente,2001,89.81,2674.29
47,5,ANTIOQUIA,YARUMAL,Cultivo permanente,2001,2.0,8273.88
48,5,ANTIOQUIA,YOLOMBÓ,Cultivo intermintente,2001,71.94,4270.12
49,5,ANTIOQUIA,YONDÓ ,Cultivo intermintente,2001,0.74,9802.87
50,5,ANTIOQUIA,ZARAGOZA,Cultivo permanente,2001,281.81,0.0
51,81,ARAUCA,ARAUQUITA,Cultivo intermintente,2001,1325.09,8009.84
52,81,ARAUCA,FORTUL,Cultivo abandonado,2001,265.82,3036.42
53,81,ARAUCA,PUERTO RONDÓN,Cultivo abandonado,2001,43.95,1953.84
54,81,ARAUCA,SARAVENA,Cultivo abandonado,2001,138.25,6284.29
55,81,ARAUCA,TAME,Cultivo abandonado,2001,396.23,5991.72
56,13,BOLÍVAR,ACHÍ,Cultivo permanente,2001,1.0,4426.16
57,13,BOLÍVAR,ALTOS DEL ROSARIO,Cultivo intermintente,2001,0.0,2904.4
