,CODDEPTO,DEPARTAMENTO,AÑO,Hectáreas cultivadas,Ingreso tributario
0,5,ANTIOQUIA,2001,3386.3,319933.75
1,5,ANTIOQUIA,2002,3029.0,381384.41
2,5,ANTIOQUIA,2003,4264.71,426015.2
3,5,ANTIOQUIA,2004,5165.0,467290.96
4,5,ANTIOQUIA,2005,6414.0,557644.72
5,5,ANTIOQUIA,2006,6156.0,590274.79
6,5,ANTIOQUIA,2007,9926.0,712737.8200000001
7,5,ANTIOQUIA,2008,6096.0,744306.09
8,5,ANTIOQUIA,2009,4553.0,825726.08
9,5,ANTIOQUIA,2010,5350.0,911992.47
10,5,ANTIOQUIA,2011,3105.0,1007687.64
11,5,ANTIOQUIA,2012,2725.0,1102655.49
12,5,ANTIOQUIA,2013,991.0,1438838.72
13,5,ANTIOQUIA,2014,2293.0,1576958.36
14,5,ANTIOQUIA,2015,2402.57,1704265.62
15,5,ANTIOQUIA,2016,8855.28,1750189.08
16,5,ANTIOQUIA,2017,13680.83,1845619.63
17,5,ANTIOQUIA,2018,13403.09,2026898.59
18,5,ANTIOQUIA,2019,9481.93,2319566.81
19,5,ANTIOQUIA,2020,12090.19,2315257.41
20,5,ANTIOQUIA,2021,16980.91,2755791.7
21,13,BOLÍVAR,2001,6140.6,68863.48
22,13,BOLÍVAR,2002,2735.0,65303.74
23,13,BOLÍVAR,2003,4471.0599999999995,76906.26
24,13,BOLÍVAR,2004,3401.09,79889.14
25,13,BOLÍVAR,2005,3670.0,104336.37
26,13,BOLÍVAR,2006,2382.0,109004.06
27,13,BOLÍVAR,2007,5632.0,117663.13
28,13,BOLÍVAR,2008,5847.0,137472.29
29,13,BOLÍVAR,2009,4777.0,135685.65
30,13,BOLÍVAR,2010,3324.0,149315.89
31,13,BOLÍVAR,2011,2207.0,158509.57
32,13,BOLÍVAR,2012,1968.0,193059.08000000002
33,13,BOLÍVAR,2013,925.0,276401.07
34,13,BOLÍVAR,2014,1565.0,271741.03
35,13,BOLÍVAR,2015,1043.02,324194.01
36,13,BOLÍVAR,2016,4094.2799999999997,296126.57
37,13,BOLÍVAR,2017,6179.01,322532.9
38,13,BOLÍVAR,2018,8613.68,330049.69
39,13,BOLÍVAR,2019,7965.09,396873.98
40,13,BOLÍVAR,2020,9373.25,387065.08
41,13,BOLÍVAR,2021,11514.38,474468.36
42,15,BOYACÁ,2001,83.49,39441.67
43,15,BOYACÁ,2002,118.0,54631.49
44,15,BOYACÁ,2003,593.9599999999999,55948.909999999996
45,15,BOYACÁ,2004,359.08,66068.28
46,15,BOYACÁ,2005,342.0,71143.04000000001
47,15,BOYACÁ,2006,441.0,94195.18000000001
48,15,BOYACÁ,2007,79.0,105897.61
49,15,BOYACÁ,2008,197.0,143626.75
50,15,BOYACÁ,2009,183.0,158278.33
51,15,BOYACÁ,2010,105.0,129950.01
52,15,BOYACÁ,2011,94.0,161213.47
53,15,BOYACÁ,2012,10.0,108683.45999999999
54,15,BOYACÁ,2013,17.0,186509.56
55,15,BOYACÁ,2014,14.0,194892.03
56,15,BOYACÁ,2015,7.71,230717.90000000002
57,15,BOYACÁ,2016,14.99,188494.32
58,15,BOYACÁ,2017,21.99,188988.87
59,15,BOYACÁ,2018,16.48,219892.66
60,15,BOYACÁ,2019,4.24,238579.29
61,15,BOYACÁ,2020,6.35,220107.04
62,15,BOYACÁ,2021,17.95,266944.01
63,17,CALDAS,2001,0.0,21194.85
64,17,CALDAS,2002,0.0,25077.4
65,17,CALDAS,2003,53.71,24376.7
66,17,CALDAS,2004,358.08,27286.73
67,17,CALDAS,2005,189.46,28136.58
68,17,CALDAS,2006,461.0,33412.62
69,17,CALDAS,2007,56.0,36042.54
70,17,CALDAS,2008,187.0,38838.43
71,17,CALDAS,2009,167.0,47357.64
72,17,CALDAS,2010,45.0,42264.97
73,17,CALDAS,2011,46.0,42524.42
74,17,CALDAS,2012,16.0,50960.3
75,17,CALDAS,2013,8.0,75546.81
76,17,CALDAS,2014,0.0,79968.45
77,17,CALDAS,2015,0.0,75737.83
78,17,CALDAS,2016,0.0,80909.55
79,17,CALDAS,2017,0.0,91395.17
80,17,CALDAS,2018,0.0,99946.23
81,17,CALDAS,2019,0.0,103741.81
82,17,CALDAS,2020,0.0,98520.81999999999
83,17,CALDAS,2021,0.0,129514.93000000001
84,18,CAQUETÁ,2001,13786.34,76037.06
85,18,CAQUETÁ,2002,8412.0,100298.32
86,18,CAQUETÁ,2003,7229.98,127710.08
87,18,CAQUETÁ,2004,6498.0,135925.21
88,18,CAQUETÁ,2005,4988.0,154123.07
89,18,CAQUETÁ,2006,4967.0,160449.76
90,18,CAQUETÁ,2007,6318.0,185340.02
91,18,CAQUETÁ,2008,4303.0,210543.78
92,18,CAQUETÁ,2009,3759.0,245744.51
93,18,CAQUETÁ,2010,2578.0,235476.34000000003
94,18,CAQUETÁ,2011,3327.0,249228.13
95,18,CAQUETÁ,2012,3694.0,326273.54
96,18,CAQUETÁ,2013,4322.0,462021.91
97,18,CAQUETÁ,2014,6542.0,781457.12
98,18,CAQUETÁ,2015,7712.469999999999,514104.21
99,18,CAQUETÁ,2016,9343.11,528558.35
100,18,CAQUETÁ,2017,11793.25,552427.9199999999
101,18,CAQUETÁ,2018,11761.72,578510.2200000001
102,18,CAQUETÁ,2019,4511.46,629411.0
103,18,CAQUETÁ,2020,2054.94,671620.6
104,18,CAQUETÁ,2021,3668.6000000000004,815279.25
105,19,CAUCA,2001,2928.97,122968.73
106,19,CAUCA,2002,2121.0,169331.36
107,19,CAUCA,2003,1443.02,160775.98
108,19,CAUCA,2004,1265.31,175927.32
109,19,CAUCA,2005,2705.0,201580.0
110,19,CAUCA,2006,2105.0,228796.77
111,19,CAUCA,2007,4168.0,248905.97
112,19,CAUCA,2008,5422.0,310912.26
113,19,CAUCA,2009,6144.0,371297.95
114,19,CAUCA,2010,5908.0,368148.87
115,19,CAUCA,2011,6066.0,372377.63
116,19,CAUCA,2012,4327.0,491613.8
117,19,CAUCA,2013,3326.0,685635.71
118,19,CAUCA,2014,6389.0,707518.2000000001
119,19,CAUCA,2015,8660.1,771884.48
120,19,CAUCA,2016,12595.439999999999,764374.61
121,19,CAUCA,2017,15960.31,858426.87
122,19,CAUCA,2018,17117.07,910306.43
123,19,CAUCA,2019,17355.829999999998,1053349.66
124,19,CAUCA,2020,16543.83,1090174.2
125,19,CAUCA,2021,25099.09,1099273.11
126,20,CESAR,2001,0.0,22704.95
127,20,CESAR,2002,0.0,19137.33
128,20,CESAR,2003,0.0,38338.71
129,20,CESAR,2004,0.0,41478.16
130,20,CESAR,2005,0.0,63697.91
131,20,CESAR,2006,0.0,40015.2
132,20,CESAR,2007,0.0,83625.03
133,20,CESAR,2008,5.0,104635.8
134,20,CESAR,2009,0.0,124552.98999999999
135,20,CESAR,2010,0.0,114681.95
136,20,CESAR,2011,0.0,96945.8
137,20,CESAR,2012,12.0,76994.69
138,20,CESAR,2013,13.0,174806.62
139,20,CESAR,2014,10.0,226349.66
140,20,CESAR,2015,33.269999999999996,241018.80000000002
141,20,CESAR,2016,26.4,179367.97
142,20,CESAR,2017,24.35,123476.57
