,CODDEPTO,DEPARTAMENTO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas,Cobertura de acueducto,Cobertura de alcantarillado
0,5,ANTIOQUIA,AMALFI,Cultivo permanente,2008,151.0,50.49,50.49
1,5,ANTIOQUIA,ANORÍ,Cultivo permanente,2008,787.0,37.23,37.23
2,5,ANTIOQUIA,APARTADÓ,Cultivo permanente,2008,10.0,91.48,91.48
3,5,ANTIOQUIA,ARGELIA,Cultivo abandonado,2008,1.0,17.13,3.36
4,5,ANTIOQUIA,BRICEÑO,Cultivo permanente,2008,85.0,31.31,31.31
5,5,ANTIOQUIA,CÁCERES,Cultivo permanente,2008,524.0,79.5,64.42
6,5,ANTIOQUIA,CAMPAMENTO,Cultivo permanente,2008,6.0,23.23,23.23
7,5,ANTIOQUIA,CARACOLÍ,Cultivo abandonado,2008,14.0,51.87,51.87
8,5,ANTIOQUIA,CAREPA,Cultivo abandonado,2008,4.0,100.0,100.0
9,5,ANTIOQUIA,CARMEN DE VIBORAL,Cultivo abandonado,2008,0.0,91.29,53.85
10,5,ANTIOQUIA,CAUCASIA,Cultivo intermintente,2008,2.0,84.59,84.59
11,5,ANTIOQUIA,CHIGORODÓ,Cultivo intermintente,2008,2.0,85.99,85.99
12,5,ANTIOQUIA,COCORNÁ,Cultivo abandonado,2008,13.0,100.0,100.0
13,5,ANTIOQUIA,DABEIBA,Cultivo abandonado,2008,0.0,48.03,40.21
14,5,ANTIOQUIA,EL BAGRE,Cultivo permanente,2008,708.0,96.02,64.34
15,5,ANTIOQUIA,FRONTINO,Cultivo abandonado,2008,0.0,50.98,50.98
16,5,ANTIOQUIA,GÓMEZ PLATA,Cultivo abandonado,2008,0.0,34.42,50.43
17,5,ANTIOQUIA,MACEO,Cultivo abandonado,2008,0.0,100.0,100.0
18,5,ANTIOQUIA,MURINDÓ,Cultivo intermintente,2008,0.0,0.0,0.0
19,5,ANTIOQUIA,MUTATÁ,Cultivo intermintente,2008,0.0,100.0,100.0
20,5,ANTIOQUIA,NARIÑO,Cultivo abandonado,2008,17.0,100.0,100.0
21,5,ANTIOQUIA,NECHÍ,Cultivo permanente,2008,328.0,100.0,0.0
22,5,ANTIOQUIA,NECOCLÍ,Cultivo abandonado,2008,0.0,20.57,10.83
23,5,ANTIOQUIA,PUERTO BERRÍO,Cultivo abandonado,2008,2.0,49.2,49.2
24,5,ANTIOQUIA,PUERTO NARE,Cultivo abandonado,2008,45.0,100.0,100.0
25,5,ANTIOQUIA,PUERTO TRIUNFO,Cultivo abandonado,2008,0.0,82.16,82.16
26,5,ANTIOQUIA,REMEDIOS,Cultivo permanente,2008,154.0,100.0,100.0
27,5,ANTIOQUIA,SABANALARGA,Cultivo abandonado,2008,0.0,87.54,16.22
28,5,ANTIOQUIA,SAN CARLOS,Cultivo intermintente,2008,17.0,9.06,9.01
29,5,ANTIOQUIA,SAN FRANCISCO,Cultivo permanente,2008,235.0,23.26,23.26
30,5,ANTIOQUIA,SAN LUIS,Cultivo permanente,2008,271.0,91.82,28.45
31,5,ANTIOQUIA,SAN PEDRO DE URABÁ,Cultivo intermintente,2008,0.0,34.84,34.84
32,5,ANTIOQUIA,SAN RAFAEL,Cultivo abandonado,2008,8.0,29.66,29.66
33,5,ANTIOQUIA,SAN ROQUE,Cultivo abandonado,2008,3.0,41.2,11.47
34,5,ANTIOQUIA,SANTA ROSA DE OSOS,Cultivo abandonado,2008,0.0,26.55,26.55
35,5,ANTIOQUIA,SONSÓN,Cultivo intermintente,2008,70.0,43.11,30.07
36,5,ANTIOQUIA,TARAZÁ,Cultivo permanente,2008,931.0,74.84,74.84
37,5,ANTIOQUIA,TOLEDO,Cultivo emergente,2008,0.0,46.83,24.63
38,5,ANTIOQUIA,TURBO,Cultivo permanente,2008,8.0,49.56,22.04
39,5,ANTIOQUIA,URAMITA,Cultivo abandonado,2008,0.0,100.0,100.0
40,5,ANTIOQUIA,URRAO,Cultivo abandonado,2008,0.0,52.36,52.36
41,5,ANTIOQUIA,VALDIVIA,Cultivo permanente,2008,409.0,51.85,21.29
42,5,ANTIOQUIA,VEGACHÍ,Cultivo intermintente,2008,22.0,78.51,78.51
43,5,ANTIOQUIA,VIGÍA DEL FUERTE,Cultivo intermintente,2008,0.0,100.0,100.0
44,5,ANTIOQUIA,YALÍ,Cultivo intermintente,2008,0.0,98.23,97.3
45,5,ANTIOQUIA,YARUMAL,Cultivo permanente,2008,0.0,100.0,100.0
46,5,ANTIOQUIA,YOLOMBÓ,Cultivo intermintente,2008,0.0,27.46,27.46
47,5,ANTIOQUIA,YONDÓ ,Cultivo intermintente,2008,239.0,33.7,32.61
48,5,ANTIOQUIA,ZARAGOZA,Cultivo permanente,2008,495.0,0.0,0.0
49,81,ARAUCA,ARAUQUITA,Cultivo intermintente,2008,205.0,26.07,26.07
50,81,ARAUCA,FORTUL,Cultivo abandonado,2008,39.0,100.0,100.0
51,81,ARAUCA,PUERTO RONDÓN,Cultivo abandonado,2008,15.0,100.0,100.0
52,81,ARAUCA,TAME,Cultivo abandonado,2008,96.0,38.59,32.44
53,13,BOLÍVAR,ACHÍ,Cultivo permanente,2008,0.0,70.38,0.0
54,13,BOLÍVAR,ALTOS DEL ROSARIO,Cultivo intermintente,2008,43.0,35.16,0.0
55,13,BOLÍVAR,ARENAL,Cultivo permanente,2008,117.0,93.68,0.0
56,13,BOLÍVAR,BARRANCO DE LOBA,Cultivo intermintente,2008,31.0,88.2,0.0
57,13,BOLÍVAR,CANTAGALLO,Cultivo permanente,2008,909.0,0.0,0.0
58,13,BOLÍVAR,EL PEÑÓN,Cultivo abandonado,2008,0.0,43.73,0.0
59,13,BOLÍVAR,MONTECRISTO,Cultivo permanente,2008,734.0,0.0,0.0
60,13,BOLÍVAR,MORALES,Cultivo permanente,2008,156.0,31.73,31.73
61,13,BOLÍVAR,RIOVIEJO,Cultivo permanente,2008,230.0,100.0,100.0
62,13,BOLÍVAR,SAN MARTÍN DE LOBA,Cultivo intermintente,2008,77.0,71.52,52.93
63,13,BOLÍVAR,SAN PABLO,Cultivo permanente,2008,1529.0,100.0,0.0
64,13,BOLÍVAR,SANTA ROSA DEL SUR,Cultivo permanente,2008,1319.0,60.52,60.52
65,13,BOLÍVAR,SIMITÍ,Cultivo permanente,2008,374.0,36.6,36.6
66,15,BOYACÁ,COPER,Cultivo abandonado,2008,0.0,19.37,6.99
67,15,BOYACÁ,CUBARÁ,Cultivo abandonado,2008,8.0,100.0,100.0
68,15,BOYACÁ,LA VICTORIA,Cultivo abandonado,2008,0.0,15.49,15.49
69,15,BOYACÁ,MARIPÍ,Cultivo abandonado,2008,0.0,21.18,8.0
70,15,BOYACÁ,MUZO,Cultivo abandonado,2008,0.0,44.99,44.99
71,15,BOYACÁ,OTANCHE,Cultivo intermintente,2008,120.0,25.34,25.34
72,15,BOYACÁ,PAUNA,Cultivo abandonado,2008,0.0,32.88,26.34
