,CODDEPTO,DEPARTAMENTO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas,Valor agregado
0,91,AMAZONAS,EL ENCANTO ,Cultivo intermintente,2011,35.0,8.202733592943414
1,91,AMAZONAS,LA CHORRERA ,Cultivo intermintente,2011,36.0,11.444021906445332
2,91,AMAZONAS,LA PEDRERA ,Cultivo abandonado,2011,0.0,8.17939040573156
3,91,AMAZONAS,LA VICTORIA  ,Cultivo abandonado,2011,0.0,2.0894809995653625
4,91,AMAZONAS,MIRITÍ-PARANÁ  ,Cultivo abandonado,2011,0.0,3.405492597285846
5,91,AMAZONAS,PUERTO ALEGRÍA ,Cultivo permanente,2011,44.0,2.4345238318696376
6,91,AMAZONAS,PUERTO ARICA ,Cultivo abandonado,2011,0.0,3.3960549927475467
7,91,AMAZONAS,SANTANDER  ,Cultivo abandonado,2011,7.0,5.370963018923274
8,5,ANTIOQUIA,AMALFI,Cultivo permanente,2011,29.0,444.991524416973
9,5,ANTIOQUIA,ANORÍ,Cultivo permanente,2011,208.0,82.35975755252781
10,5,ANTIOQUIA,APARTADÓ,Cultivo permanente,2011,0.0,1401.4421782203049
11,5,ANTIOQUIA,ARGELIA,Cultivo abandonado,2011,42.0,46.17768293310243
12,5,ANTIOQUIA,BRICEÑO,Cultivo permanente,2011,38.0,50.46503003849257
13,5,ANTIOQUIA,CÁCERES,Cultivo permanente,2011,453.0,236.77804047280148
14,5,ANTIOQUIA,CAMPAMENTO,Cultivo permanente,2011,0.0,40.3498876391324
15,5,ANTIOQUIA,CARACOLÍ,Cultivo abandonado,2011,2.0,35.79583249699607
16,5,ANTIOQUIA,CAREPA,Cultivo abandonado,2011,0.0,738.1873156402561
17,5,ANTIOQUIA,CARMEN DE VIBORAL,Cultivo abandonado,2011,0.0,296.2866705881804
18,5,ANTIOQUIA,CAUCASIA,Cultivo intermintente,2011,0.0,665.4207749471161
19,5,ANTIOQUIA,CHIGORODÓ,Cultivo intermintente,2011,1.0,525.3088300592684
20,5,ANTIOQUIA,COCORNÁ,Cultivo abandonado,2011,1.0,148.99445577504832
21,5,ANTIOQUIA,DABEIBA,Cultivo abandonado,2011,2.0,134.55154753306573
22,5,ANTIOQUIA,EL BAGRE,Cultivo permanente,2011,317.0,522.319755953879
23,5,ANTIOQUIA,FRONTINO,Cultivo abandonado,2011,0.0,133.52288493521678
24,5,ANTIOQUIA,GÓMEZ PLATA,Cultivo abandonado,2011,0.0,197.72435981627424
25,5,ANTIOQUIA,ITUANGO,Cultivo permanente,2011,82.0,139.55153216053628
26,5,ANTIOQUIA,MACEO,Cultivo abandonado,2011,0.0,75.61884422844457
